iter	RMSE
0	960.0241077
1	915.8919741
2	882.285603
3	861.8379214
4	843.7912452
5	830.7381504
6	822.1187316
7	814.8376602
8	809.150763
9	805.4430965
10	802.3052642
11	799.7575757
12	798.1888381
13	796.0820867
14	795.1039339
15	792.2397954
16	791.488749
17	791.0629693
18	790.3227563
19	788.9126292
20	788.5541515
21	786.9271999
22	786.2969363
23	785.1620933
24	784.7128242
25	782.4878655
26	781.6648889
27	780.558426
28	780.2967869
29	779.7838722
30	778.7901125
31	778.6103808
32	778.208677
33	776.6910658
34	775.5617025
35	760.1537227
36	759.9048713
37	759.7447939
38	754.3597406
39	754.3143905
40	753.5870878
41	753.4511913
42	752.843415
43	751.8696927
44	750.4446758
45	749.3924858
46	748.2036725
47	746.9002096
48	746.6846595
49	746.2265433
50	746.0522531
51	745.8840506
52	745.0217931
53	744.709874
54	744.5259227
55	744.2473874
56	744.0802703
57	743.8106795
58	743.6121618
59	743.4256209
60	743.2564714
61	743.1028741
62	742.8874922
63	742.635044
64	742.4897517
65	742.3533677
66	742.223835
67	742.0129053
68	741.8898447
69	741.7762098
70	741.5696767
71	741.3732299
72	739.6624439
73	739.5536152
74	737.8945256
75	737.5632703
76	736.7026321
77	736.5685279
78	736.46296
79	736.2868818
80	731.8755481
81	731.7237282
82	731.6265168
83	731.537549
84	731.4486392
85	730.7827761
86	730.6928595
87	729.304328
88	715.5569492
89	715.4073189
90	715.3227085
91	715.1727263
92	715.0923829
93	714.9621372
94	714.3826394
95	714.3121079
96	714.2422617
97	714.1714001
98	714.0449772
99	713.9835993
100	713.376969
101	712.4143285
102	711.8440418
103	710.5859961
104	710.5167815
105	710.3982651
106	710.3347654
107	710.2175222
108	697.4192694
109	697.3680086
110	696.3854075
111	694.9437697
112	694.3289975
113	694.2686267
114	694.1607165
115	694.0475082
116	692.8572869
117	692.8006356
118	692.7596124
119	692.7048965
120	692.6720381
121	692.5722577
122	692.5115989
123	692.4081667
124	692.3585481
125	692.3151754
126	692.2725622
127	692.1900909
128	692.0925243
129	691.0717752
130	690.9881809
131	689.8843189
132	689.8352789
133	689.2343997
134	689.1988704
135	689.1635753
136	689.0960299
137	689.0040479
138	677.1622559
139	677.1272185
140	676.0116002
141	675.9291455
142	664.9251434
143	654.4352927
144	654.3990742
145	654.3120708
146	653.7053783
147	653.6437328
148	653.6126503
149	653.5737861
150	653.5484367
151	652.7797814
152	652.7375024
153	643.2320228
154	643.1581534
155	643.1339489
156	643.1038899
157	643.029673
158	642.9728374
159	634.1833823
160	634.1522259
161	634.112763
162	625.9344164
163	625.9028013
164	624.8518333
165	617.3311274
166	616.6580532
167	616.6206899
168	616.5547989
169	616.5282609
170	616.5051243
171	616.4284979
172	616.3969648
173	614.7887838
174	614.3104054
175	614.2815374
176	613.8764829
177	613.0815608
178	611.4638938
179	611.40609
180	611.3765215
181	611.3430555
182	610.6775526
183	610.0907418
184	610.0618609
185	609.9954332
186	609.4911141
187	608.7129986
188	608.6853268
189	607.8065802
190	607.7793154
191	600.6638584
192	600.6361601
193	600.5700769
194	600.5365125
195	600.5107806
196	600.4943876
197	600.4393373
198	600.4143818
199	600.3892104
