iter	Passed	Remaining
0	1	215
1	1	190
2	3	204
3	3	187
4	4	190
5	5	188
6	6	184
7	7	180
8	8	179
9	9	175
10	9	170
11	10	171
12	12	179
13	13	175
14	13	172
15	14	169
16	15	166
17	16	165
18	17	164
19	18	162
20	18	160
21	19	160
22	20	158
23	21	157
24	22	155
25	22	153
26	23	151
27	25	154
28	26	155
29	27	154
30	28	152
31	28	150
32	29	148
33	30	147
34	30	145
35	31	145
36	32	143
37	33	142
38	34	141
39	35	140
40	35	138
41	36	137
42	37	136
43	37	133
44	38	133
45	39	132
46	40	132
47	41	130
48	42	129
49	42	128
50	43	127
51	44	125
52	45	124
53	45	123
54	46	122
55	47	121
56	48	120
57	48	119
58	49	118
59	50	118
60	51	116
61	52	116
62	53	115
63	54	115
64	55	114
65	55	113
66	56	112
67	57	111
68	58	110
69	59	109
70	59	108
71	60	107
72	61	107
73	62	106
74	63	105
75	63	104
76	64	103
77	65	102
78	66	101
79	67	100
80	68	100
81	69	99
82	69	98
83	70	97
84	71	96
85	72	95
86	72	94
87	73	93
88	74	92
89	75	91
90	75	90
91	76	89
92	77	89
93	78	88
94	78	87
95	79	86
96	80	85
97	81	84
98	82	84
99	83	83
100	83	82
101	84	81
102	85	80
103	86	79
104	86	78
105	87	77
106	88	76
107	89	75
108	89	74
109	90	74
110	91	73
111	91	72
112	92	71
113	93	70
114	94	69
115	95	68
116	96	68
117	97	67
118	98	67
119	99	66
120	100	65
121	101	64
122	102	64
123	103	63
124	104	62
125	106	62
126	107	61
127	108	60
128	109	60
129	110	59
130	111	58
131	112	58
132	113	57
133	114	56
134	115	55
135	116	54
136	117	53
137	118	53
138	118	52
139	119	51
140	120	50
141	121	49
142	122	48
143	123	48
144	124	47
145	125	46
146	126	45
147	127	44
148	128	43
149	129	43
150	130	42
151	131	41
152	131	40
153	132	39
154	133	38
155	134	37
156	135	37
157	135	36
158	136	35
159	137	34
160	138	33
161	139	32
162	140	31
163	141	30
164	142	30
165	142	29
166	143	28
167	144	27
168	145	26
169	146	25
170	147	24
171	148	24
172	149	23
173	150	22
174	150	21
175	151	20
176	152	19
177	153	19
178	154	18
179	155	17
180	156	16
181	157	15
182	158	14
183	159	13
184	160	13
185	161	12
186	162	11
187	163	10
188	164	9
189	165	8
190	166	7
191	167	6
192	168	6
193	169	5
194	170	4
195	170	3
196	171	2
197	172	1
198	174	0
199	175	0
