Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
ACF Agro Marketing,01/15/2025,108.86,Other,6800,6900,6825
,01/21/2025,155.88,Other,6800,6900,6842
,01/24/2025,64.97,Other,6800,6900,6847
,01/25/2025,116.63,Other,6700,6800,6730
,01/28/2025,57.8,Other,6600,6700,6667
,01/29/2025,34.6,Other,6700,6800,6704
,01/31/2025,29.12,Other,6700,6800,6761
Akhadabalapur,01/17/2025,1.8,Desi,7000,7100,7050
,01/20/2025,2.4,Desi,7300,7500,7400
,01/23/2025,4,Desi,7300,7500,7400
Akola,01-01-2025,289.9,Desi,7331,7471,7433
,01-02-2025,235.6,Desi,7331,7471,7433
,01-03-2025,251.9,Desi,7331,7471,7433
,01-04-2025,246.3,Desi,7331,7471,7433
,01-07-2025,169.6,Desi,7331,7471,7433
,01-08-2025,160.3,Desi,7331,7471,7433
,01-09-2025,82.3,Desi,7331,7471,7433
,01-10-2025,132.3,Desi,7331,7471,7433
,01-11-2025,288.1,Desi,7331,7471,7433
,01/14/2025,317,Desi,7331,7433,7421
,01/15/2025,137.6,Desi,7331,7471,7433
,01/16/2025,284.4,Desi,7331,7471,7433
,01/17/2025,157.3,Desi,7331,7471,7433
,01/18/2025,138.7,Desi,7331,7471,7433
,01/21/2025,219.7,Desi,7421,7421,7421
,01/22/2025,191.9,Desi,7421,7421,7421
,01/23/2025,105.4,Desi,7421,7421,7421
,01/24/2025,81.3,Desi,7421,7421,7421
,01/25/2025,163.5,Desi,7421,7421,7421
,01/28/2025,182.8,Desi,7421,7513,7500
,01/29/2025,191.9,Desi,7421,7435,7428
,01/30/2025,178.3,Desi,7421,7435,7428
,01/31/2025,255.6,Desi,7421,7435,7428
Akot,01-07-2025,195,"H-4(A)
27mm FIne",7250,7900,7800
,01-08-2025,200,"H-4(A)
27mm FIne",7250,7800,7800
,01/16/2025,175,"H-4(A)
27mm FIne",7120,7675,7600
,01/21/2025,336.5,"H-4(A)
27mm FIne",7245,7785,7700
,01/22/2025,150,"H-4(A)
27mm FIne",7250,7800,7500
Amarawati,01-01-2025,7.5,Other,7150,7450,7300
,01-02-2025,8.5,Other,7150,7450,7300
,01-03-2025,9,Other,7175,7500,7337
,01-04-2025,7.9,Other,7175,7500,7337
,01-06-2025,9,Other,7200,7525,7362
,01-07-2025,9.5,Other,7250,7550,7400
,01-08-2025,7.9,Other,7250,7550,7400
,01-09-2025,9.4,Other,7250,7550,7400
,01-10-2025,9,Other,7250,7550,7400
,01-11-2025,8.5,Other,7250,7550,7400
,01/13/2025,9.5,Other,7250,7575,7412
,01/14/2025,8.5,Other,7250,7550,7400
,01/15/2025,9,Other,7250,7575,7412
,01/16/2025,10.5,Other,7225,7550,7387
,01/17/2025,9.4,Other,7200,7525,7362
,01/18/2025,8.5,Other,7175,7500,7337
,01/21/2025,8.5,Other,7200,7525,7362
,01/22/2025,10.5,Other,7200,7525,7362
,01/24/2025,9.4,Other,7175,7500,7337
,01/25/2025,10,Other,7175,7500,7337
,01/27/2025,9,Other,7150,7475,7312
,01/28/2025,7.9,Other,7100,7425,7262
,01/29/2025,9.4,Other,7100,7425,7262
,01/30/2025,10,Other,7100,7425,7262
,01/31/2025,8.5,Other,7100,7425,7262
Arvi,01-02-2025,326.5,"H-4(A)
27mm FIne",7100,7230,7200
,01-03-2025,431.5,"H-4(A)
27mm FIne",7100,7230,7200
,01-04-2025,227.2,"H-4(A)
27mm FIne",7100,7250,7200
,01-05-2025,221.9,"H-4(A)
27mm FIne",7100,7250,7200
,01-10-2025,270.2,"H-4(A)
27mm FIne",7150,7250,7200
,01-11-2025,235.5,"H-4(A)
27mm FIne",7150,7250,7200
,01-12-2025,183.6,"H-4(A)
27mm FIne",7150,7250,7200
,01/16/2025,330.8,"H-4(A)
27mm FIne",7150,7300,7200
,01/18/2025,243.5,"H-4(A)
27mm FIne",7150,7260,7180
,01/19/2025,189.2,"H-4(A)
27mm FIne",7150,7250,7200
,01/23/2025,376.6,"H-4(A)
27mm FIne",7150,7250,7200
,01/24/2025,366.4,"H-4(A)
27mm FIne",7150,7250,7200
,01/25/2025,205.8,"H-4(A)
27mm FIne",7150,7230,7200
,01/26/2025,97.7,"H-4(A)
27mm FIne",7150,7230,7200
,01/27/2025,396.4,"H-4(A)
27mm FIne",7150,7200,7150
,01/31/2025,390.3,"H-4(A)
27mm FIne",7050,7100,7080
Baramati,01-03-2025,0.3,Other,5400,6100,5400
,01-07-2025,1,Other,5000,6100,6100
,01-10-2025,0.9,Other,5000,6100,5500
,01/14/2025,0.9,Other,6000,6000,6000
,01/15/2025,1.2,Other,4200,6511,6511
,01/21/2025,0.7,Other,5000,6500,6280
,01/28/2025,0.5,Other,5000,5500,5500
,01/29/2025,0.3,Other,4500,6600,6600
Barshi Takli,01-01-2025,925,Other,7421,7421,7421
,01-02-2025,900,Other,7421,7421,7421
,01-03-2025,1050,Other,7421,7421,7421
,01-04-2025,720,Other,7421,7421,7421
,01-06-2025,900,Other,7421,7421,7421
,01-07-2025,1000,Other,7421,7421,7421
,01-08-2025,800,Other,7421,7421,7421
,01-09-2025,900,Other,7421,7421,7421
,01-10-2025,850,Other,7421,7421,7421
,01/13/2025,850,Other,7121,7421,7421
,01/14/2025,810,Other,7421,7421,7421
,01/15/2025,850,Other,7421,7421,7421
,01/16/2025,800,Other,7421,7421,7421
,01/20/2025,730,Other,7421,7421,7421
,01/22/2025,690,Other,7350,7421,7380
,01/23/2025,441,Other,7300,7421,7350
,01/31/2025,810,Other,7421,7421,7421
Bhadrawati,01-02-2025,230.9,Other,7172,7471,7321
,01-03-2025,148.2,Other,7172,7471,7321
,01-06-2025,183.6,Other,6825,7130,6977
,01-07-2025,118.9,Other,6500,7175,6837
,01-08-2025,266.4,Other,7172,7471,7321
,01-09-2025,26.7,Other,7050,7150,7100
,01-10-2025,36,Other,6750,7150,6950
,01-11-2025,32.4,Other,6850,7100,6975
,01/13/2025,25.2,Other,6880,7150,7015
,01/15/2025,220,Other,6700,7125,6912
,01/16/2025,21.6,Other,6950,7125,7037
