Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Ahmednagar,01-10-2025,0.2,Other,4200,4200,4200
Ahmedpur,01-01-2025,0.3,Other,5500,6100,5800
,01-10-2025,0.3,Other,4000,4000,4000
,01/16/2025,0.3,Other,4501,4501,4501
,01/18/2025,0.3,Other,4700,4700,4700
,01/27/2025,0.3,Other,5100,5200,5150
Baramati,01-03-2025,0.1,Other,5500,5500,5500
,01-07-2025,0.1,Other,5701,5701,5701
,01-10-2025,0.1,Other,5000,5000,5000
,01/14/2025,0.1,Other,5000,5000,5000
,01/21/2025,0.4,Other,4000,5200,5000
,01/28/2025,0.2,Other,4800,4800,4800
,01/31/2025,0.4,Other,4100,4800,4301
Chattrapati Sambhajinagar,01-12-2025,3,Other,5000,5500,5250
,01/13/2025,1.5,Other,4000,5500,4750
,01/20/2025,1.6,Other,4500,5200,4850
Dhule,01-01-2025,0.5,Other,6000,7100,6000
,01-02-2025,0.5,Other,3700,7600,6000
,01-03-2025,0.3,Other,3825,6700,6100
,01-04-2025,1.7,Other,6375,6550,6550
,01-06-2025,0.3,Other,3500,8750,6125
,01-07-2025,1,Other,3500,8750,6125
,01-08-2025,1.2,Other,4125,7000,6100
,01-10-2025,2.6,Other,3850,7900,6000
,01-11-2025,0.9,Other,4100,6900,6000
,01/14/2025,2,Other,3525,7500,6025
,01/23/2025,0.4,Other,6000,6000,6000
,01/25/2025,3,Other,4525,6782,5525
,01/27/2025,0.4,Other,4025,6500,5625
,01/28/2025,0.9,Other,3750,6782,4925
,01/29/2025,2.7,Other,6783,7125,6900
,,,Other,4575,6782,6125
,01/30/2025,0.7,Other,5025,6782,5900
Jamkhed,01/13/2025,0.2,Other,5700,6300,6000
Karjat,01-09-2025,0.1,Other,6000,6000,6000
Katol,01-02-2025,14.7,Other,4000,5800,5350
,01-06-2025,10.8,Other,4000,5900,5450
,01-09-2025,8.6,Other,3500,6500,5600
,01/13/2025,6,Other,6090,6950,6550
,01/16/2025,2.1,Other,4600,5300,4900
,01/23/2025,1.6,Other,4200,6400,5500
Kille Dharur,01-03-2025,0.5,Other,5400,5551,5400
Lasalgaon,01-06-2025,0.2,Other,5001,5001,5001
,01-07-2025,0.2,Other,4000,4000,4000
,01-08-2025,0.1,Other,4000,4000,4000
,01-10-2025,0.2,Other,6001,6001,6001
,01/17/2025,0.2,Other,4801,4801,4801
,01/20/2025,0.4,Other,3100,4200,4200
,01/21/2025,0.2,Other,4300,4501,4501
,01/24/2025,0.3,Other,3201,4800,4702
,01/27/2025,0.2,Other,4651,4651,4651
,01/30/2025,0.1,Other,3501,3501,3501
,01/31/2025,0.3,Other,3301,4600,4201
Malegaon,01-02-2025,0.1,Other,4000,4000,4000
,01-11-2025,2,Other,3000,5000,4000
,01/13/2025,1,Other,4000,5799,4801
,01/16/2025,0.4,Other,3400,5401,4600
,01/20/2025,0.9,Other,3801,5051,4700
,01/21/2025,1.6,Other,3800,5699,4599
,01/22/2025,1.2,Other,3500,5400,5078
,01/25/2025,0.8,Other,3299,5600,5200
,01/27/2025,0.6,Other,6783,6830,6785
,01/28/2025,0.5,Other,3500,6500,6100
,01/30/2025,1,Other,6783,6790,6785
