Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Chattrapati Sambhajinagar,02/23/2025,4.3,Other,10000,12000,11000
,02/24/2025,2.3,Other,7000,13000,9000
,02/25/2025,3,Other,8000,11000,9500
Jalgaon,02/18/2025,0.7,Other,2000,4000,3000
Kamthi,02-05-2025,0.1,Other,5500,6500,6000
,02/23/2025,0.1,Other,4500,5500,5000
Mumbai- Fruit Market,02-07-2025,32.9,Hapus(Alphaso),45000,90000,67500
,02/13/2025,38.7,Hapus(Alphaso),45000,90000,67500
,,,Other,12000,14000,13000
,02/14/2025,114.2,Hapus(Alphaso),45000,90000,67500
,,,Other,11000,12000,11500
,02/15/2025,77.8,Hapus(Alphaso),45000,100000,72500
,,,Other,11000,12000,11500
,02/17/2025,88.8,Hapus(Alphaso),45000,100000,90000
,,,Other,11000,12000,11500
,02/18/2025,128.1,Hapus(Alphaso),45000,120000,82500
,,,Other,11000,12000,11500
,02/19/2025,52.2,Hapus(Alphaso),45000,120000,82500
,,,Other,11000,12000,11500
,02/20/2025,83.3,Hapus(Alphaso),45000,120000,82500
,,,Other,11000,13000,12000
,02/21/2025,99.8,Hapus(Alphaso),45000,120000,82500
,,,Other,11000,13000,12000
,02/22/2025,131.4,Hapus(Alphaso),45000,120000,82500
,,,Other,11000,13000,12000
,02/24/2025,110.8,Hapus(Alphaso),50000,120000,85000
,,,Other,11000,13000,12000
,02/25/2025,225.7,Hapus(Alphaso),50000,120000,85000
,,,Other,11000,13000,12000
,02/26/2025,84.9,Hapus(Alphaso),50000,120000,85000
,,,Other,11000,13000,12000
,02/27/2025,132.4,Hapus(Alphaso),50000,120000,85000
,,,Other,11000,13000,12000
,02/28/2025,193.7,Hapus(Alphaso),50000,90000,70000
,,,Other,10000,14000,12000
Pune(Moshi),02/13/2025,0.1,Other,10000,10000,10000
,02/16/2025,0.4,Other,10000,10000,10000
,02/21/2025,0.2,Other,11000,11000,11000
,02/23/2025,0.5,Other,12000,12000,12000
,02/25/2025,0.2,Other,10000,10000,10000
,02/27/2025,0.8,Other,10000,10000,10000
"Sangli(Phale,
Bhajipura Market)",02-03-2025,0.4,Hapus(Alphaso),8300,14600,11450
,02/15/2025,0.5,Hapus(Alphaso),15000,80000,47500
,02/17/2025,0.4,Hapus(Alphaso),20000,90000,55000
,02/19/2025,0.3,Hapus(Alphaso),20000,90000,55000
,02/22/2025,0.8,Hapus(Alphaso),20000,85000,52500
,02/24/2025,1,Hapus(Alphaso),20000,90000,55000
,02/26/2025,0.3,Hapus(Alphaso),20000,90000,55000
,02/28/2025,0.3,Hapus(Alphaso),20000,85000,52500
Solapur,02/28/2025,0.4,Other,1000,1000,1000
Ahm+A4:G157ednagar,03/18/2025,0.2,Hapus(Alphaso),51000,51000,51000
,03/25/2025,1.1,Hapus(Alphaso),31000,45000,38000
,,,Other,4600,4600,4600
,03/31/2025,1,Other,4000,4600,4350
"Amrawati(Frui & Veg.
Market)",03-10-2025,12.6,Other,6000,7000,6500
,03/20/2025,11.4,Other,5000,6000,5500
,03/22/2025,21,Other,5000,6000,5500
,03/24/2025,11.9,Other,8000,10000,9000
,03/26/2025,20.4,Other,6000,7000,6500
,03/27/2025,13.4,Other,7000,8000,7500
Chattrapati Sambhajinagar,03-12-2025,3,Other,10000,18000,14000
,03/13/2025,2.2,Other,11000,18000,14500
,03/16/2025,4,Other,6000,13000,9500
,03/17/2025,4.5,Other,10000,16000,13000
,03/18/2025,2.5,Other,7000,15000,11000
,03/19/2025,4.5,Other,8000,11000,9500
,03/22/2025,1.8,Other,5000,15000,10000
,03/23/2025,1.9,Other,5500,7500,6500
,03/25/2025,2.3,Other,8000,13000,10500
,03/26/2025,4.3,Other,3500,14000,8750
,03/27/2025,3.6,Other,11000,15000,13000
,03/29/2025,3.7,Other,12000,15000,13500
,03/30/2025,7.2,Other,11000,18000,14500
Hingna,03-03-2025,0.1,Other,4000,4500,4250
Jalgaon,03/29/2025,4.5,Other,10000,10000,10000
Kamthi,03-01-2025,0.2,Other,4500,5500,5000
,03-02-2025,0.2,Other,4500,5500,5000
,03-04-2025,0.1,Other,4500,5500,5000
,03-06-2025,0.1,Other,4500,5500,5000
,03-08-2025,0.1,Other,4500,5500,5000
,03-09-2025,0.2,Other,4500,5500,5000
,03-12-2025,0.1,Other,4500,5500,5000
,03/13/2025,0.1,Other,4500,5500,5000
,03/16/2025,0.5,Other,3500,5000,4000
,03/18/2025,0.1,Other,4500,5500,5000
,03/19/2025,0.1,Other,3500,4500,4000
,03/20/2025,0.1,Other,3500,4500,4000
,03/22/2025,0.3,Other,4000,5000,4500
,03/23/2025,0.3,Other,3500,4500,4000
,03/25/2025,0.2,Other,4000,5000,4500
,03/26/2025,0.1,Other,3000,5000,4000
,03/27/2025,0.3,Other,4000,5000,4500
,03/28/2025,0.2,Other,3500,4500,4000
,03/29/2025,0.4,Other,3500,4500,4000
Mumbai- Fruit Market,03-01-2025,93.2,Hapus(Alphaso),55000,100000,77500
,,,Other,10000,15000,12500
,03-03-2025,126.1,Hapus(Alphaso),50000,120000,85000
,,,Other,10000,15000,12500
,03-04-2025,204,Hapus(Alphaso),40000,100000,70000
,,,Other,10000,14000,12000
,03-05-2025,63.3,Hapus(Alphaso),30000,90000,60000
,,,Other,10000,12000,11000
,03-06-2025,79.4,Hapus(Alphaso),30000,90000,60000
,,,Other,10000,12000,11000
,03-07-2025,86.6,Hapus(Alphaso),25000,80000,52500
,,,Other,8000,12000,10000
,03-08-2025,78.6,Hapus(Alphaso),30000,100000,65000
,,,Other,10000,14000,12000
,03-10-2025,61.7,Hapus(Alphaso),20000,90000,55000
,,,Other,10000,15000,12500
,03-11-2025,348.5,Hapus(Alphaso),30000,80000,55000
,,,Other,15000,25000,20000
,03-12-2025,308.9,Hapus(Alphaso),30000,80000,55000
,,,Other,15000,25000,20000
,03/13/2025,968,Hapus(Alphaso),35000,80000,57500
,,,Other,15000,25000,20000
,03/15/2025,42.1,Other,20000,25000,22500
,03/17/2025,218.3,Other,15000,25000,20000
,03/18/2025,587.3,Hapus(Alphaso),20000,70000,45000
,,,Other,15000,20000,17500
,03/19/2025,450.1,Hapus(Alphaso),20000,70000,45000
,,,Other,15000,20000,17500
,03/20/2025,465.9,Hapus(Alphaso),25000,80000,52500
,,,Other,15000,20000,17500
,03/21/2025,484.1,Hapus(Alphaso),25000,80000,52500
,,,Other,15000,20000,17500
,03/22/2025,569.4,Hapus(Alphaso),70000,80000,75000
,,,Other,15000,35000,25000
,03/24/2025,129.6,Hapus(Alphaso),60000,80000,70000
,,,Other,12000,30000,21000
,03/25/2025,828.8,Hapus(Alphaso),50000,70000,60000
,,,Other,12000,30000,21000
,03/26/2025,4646.9,Hapus(Alphaso),40000,60000,50000
,,,Other,10000,25000,17500
,03/28/2025,824,Hapus(Alphaso),15000,60000,37500
,,,Other,10000,15000,12500
,03/31/2025,818.4,Hapus(Alphaso),15000,60000,37500
,,,Other,10000,20000,15000
Nagpur,03/29/2025,8.4,Other,5500,6500,6250
,03/31/2025,12.1,Other,5500,6000,5875
Pune(Moshi),03-02-2025,0.6,Other,10000,10000,10000
,03-04-2025,0.8,Other,10000,10000,10000
,03-06-2025,0.4,Other,10000,10000,10000
,03-07-2025,0.4,Other,10000,10000,10000
,03-09-2025,0.8,Other,10000,10000,10000
,03-10-2025,0.4,Other,10000,10000,10000
,03-11-2025,0.9,Other,10000,10000,10000
,03/13/2025,1,Other,10000,30000,20000
,03/16/2025,1.3,Other,10000,30000,20000
,03/17/2025,0.3,Other,12000,30000,21000
,03/18/2025,0.6,Other,10000,10000,10000
,03/20/2025,1.1,Other,10000,12000,11000
,03/21/2025,0.4,Other,10000,30000,20000
,03/22/2025,1.7,Other,10000,10000,10000
,03/23/2025,0.2,Other,12000,12000,12000
,03/24/2025,0.9,Other,12000,12000,12000
,03/25/2025,0.2,Other,12000,12000,12000
,03/27/2025,2.4,Other,10000,30000,20000
,03/28/2025,1.8,Other,10000,30000,20000
,03/29/2025,0.5,Other,12000,12000,12000
,03/30/2025,3.8,Other,12000,12000,12000
,03/31/2025,1.1,Other,10000,10000,10000
"Sangli(Phale, Bhajipura Market)",03-01-2025,1.3,Hapus(Alphaso),20000,90000,55000
,03-05-2025,0.4,Hapus(Alphaso),20000,85000,52500
,03-07-2025,0.7,Hapus(Alphaso),15000,60000,37500
,03-08-2025,3.1,Hapus(Alphaso),20000,60000,40000
,03-10-2025,3.3,Hapus(Alphaso),15000,65000,40000
,03-12-2025,4.4,Hapus(Alphaso),20000,60000,40000
,03/15/2025,8.6,Hapus(Alphaso),17000,50000,33500
,03/17/2025,12,Hapus(Alphaso),18000,40000,29000
,03/18/2025,1.1,Hapus(Alphaso),18000,40000,29000
,03/19/2025,12.1,Hapus(Alphaso),15000,40000,27500
,03/20/2025,2.6,Hapus(Alphaso),16000,40000,28000
,03/21/2025,2.6,Hapus(Alphaso),15000,40000,27500
,03/22/2025,13.2,Hapus(Alphaso),7000,27000,17000
,03/24/2025,15.1,Hapus(Alphaso),10000,33000,21500
,03/25/2025,3.1,Hapus(Alphaso),7000,27000,17000
,03/26/2025,15.8,Hapus(Alphaso),13000,37000,25000
,03/27/2025,3.2,Hapus(Alphaso),10000,33000,21500
,03/28/2025,11.8,Hapus(Alphaso),10000,33500,21750
,03/29/2025,53.5,Hapus(Alphaso),17000,40000,28500
,,,Totapuri,1000,4000,2500
Solapur,03-04-2025,1.2,Other,1000,2800,1500
,03-07-2025,0.3,Hapus(Alphaso),3200,3200,3200
,03-10-2025,12,Hapus(Alphaso),4800,8000,6000
,,,Other,2000,2800,2500
,03-11-2025,16,Hapus(Alphaso),4000,8000,6000
,,,Other,2000,3000,2500
,03-12-2025,30,Hapus(Alphaso),4500,8800,7000
,,,Other,2500,3500,3000
,03/13/2025,22.2,Hapus(Alphaso),4000,8000,6000
,03/15/2025,16,Hapus(Alphaso),3200,6000,4000
,,,Other,2000,2800,2600
,03/17/2025,36.6,Hapus(Alphaso),3000,4800,4000
