Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Alibagh,01-01-2025,1,Other,3000,3500,3250
,01-02-2025,1,Other,3000,3500,3250
,01-03-2025,1,Other,3000,3500,3250
,01-04-2025,1,Other,3000,3500,3250
,01-05-2025,1,Other,3000,3500,3250
,01-06-2025,1,Other,3000,3500,3250
,01-07-2025,1,Other,3000,3500,3250
,01-08-2025,1,Other,3000,3500,3250
,01-09-2025,1,Other,3000,3500,3250
,01-10-2025,1,Other,3000,3500,3250
,01-11-2025,1,Other,3000,3500,3250
,01-12-2025,1,Other,3000,3500,3250
,01/13/2025,1,Other,3000,3500,3250
,01/14/2025,1,Other,3000,3500,3250
,01/15/2025,1,Other,3000,3500,3250
,01/16/2025,1,Other,3000,3500,3250
,01/17/2025,1,Other,3000,3500,3250
,01/18/2025,1,Other,3000,3500,3250
,01/19/2025,1,Other,3000,3500,3250
,01/20/2025,1,Other,3000,3500,3250
,01/21/2025,1,Other,3000,3500,3250
,01/22/2025,1,Other,3000,3500,3250
,01/23/2025,1,Other,3000,3500,3250
,01/24/2025,1,Other,3000,3500,3250
,01/25/2025,1,Other,3000,3500,3250
,01/26/2025,1,Other,3000,3500,3250
,01/27/2025,1,Other,3000,3500,3250
,01/28/2025,1,Other,3000,3500,3250
,01/29/2025,1,Other,3000,3500,3250
,01/30/2025,1,Other,3000,3500,3250
,01/31/2025,1,Other,3000,3500,3250
Baramati,01-02-2025,0.3,Other,2000,2200,2000
,01-06-2025,0.3,Other,2000,2100,2000
,01/27/2025,1,Other,2000,2000,2000
,01/30/2025,0.6,Other,2000,2000,2000
Bhandara,01-02-2025,0.8,"1009
Kar",4350,4350,4350
,,,Other,4700,4700,4700
,01-03-2025,1.7,"1009
Kar",4200,4200,4200
,,,Other,4400,4700,4600
,01-04-2025,0.8,Other,4700,4700,4700
,01-06-2025,0.4,Other,4700,4800,4720
,01-09-2025,0.8,Other,4200,4800,4400
,01-11-2025,1.4,Other,4700,4700,4700
,01/13/2025,1.6,Other,4600,4700,4650
,01/16/2025,5.6,"1009
Kar",4300,4300,4300
,01/17/2025,0.6,"1009
Kar",4150,4150,4150
,,,Other,4400,4500,4450
,01/24/2025,0.2,"1009
Kar",4500,4500,4500
,01/25/2025,0.3,"1009
Kar",4100,4500,4180
,01/27/2025,4.2,"1009
Kar",3800,3800,3800
,01/31/2025,1.4,Other,4800,4800,4800
Kalyan,01-10-2025,0.3,Other,3000,3500,3250
,01/30/2025,0.3,Other,7000,9000,8000
Karjat(Raigad),01-01-2025,30.5,Other,4200,6000,5200
,01-02-2025,1.5,Other,4000,6000,5100
,01-04-2025,11.5,Other,4300,5800,5200
,01-06-2025,26.2,Other,4200,5900,5100
