Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Ahmednagar,01-04-2025,1.1,Other,10000,12000,11000
,01-12-2025,1.3,Other,10000,12500,11250
,01/20/2025,0.8,Other,10000,12000,11000
,01/21/2025,1.3,Other,9000,13000,11000
,01/23/2025,1.4,Other,9500,12000,10750
,01/27/2025,0.8,Other,10000,15000,12500
,01/30/2025,1.6,Other,8000,15000,11500
"Amrawati(Frui & Veg.
Market)",01-01-2025,0.3,Simla,12000,14000,13000
,01-02-2025,0.3,Simla,12000,14000,13000
,01-04-2025,1.7,Simla,10000,14000,12000
,01-05-2025,2.5,Simla,10000,12000,11000
,01-06-2025,1.9,Simla,12000,14000,13000
,01-07-2025,0.3,Simla,12000,14000,13000
,01-08-2025,0.3,Simla,12000,14000,13000
,01-09-2025,2.8,Simla,10000,14000,12000
,01-11-2025,2.7,Simla,10000,12000,11000
,01-12-2025,2.6,Simla,12000,14000,13000
,01/13/2025,2.6,Simla,10000,13000,11500
,01/14/2025,2.8,Simla,10000,12000,11000
,01/15/2025,0.3,Simla,10000,14000,12000
,01/16/2025,0.3,Simla,10000,14000,12000
,01/18/2025,0.3,Simla,12000,14000,13000
,01/19/2025,0.3,Simla,11000,15000,13000
,01/20/2025,0.3,Simla,12000,14000,13000
,01/21/2025,0.3,Simla,12000,16000,14000
,01/22/2025,0.3,Simla,12000,16000,14000
,01/23/2025,0.3,Simla,12000,16000,14000
,01/25/2025,0.3,Simla,12000,16000,14000
,01/27/2025,2.8,Simla,12000,16000,14000
,01/28/2025,0.3,Simla,12000,16000,14000
,01/29/2025,3.1,Simla,10000,14000,12000
,01/30/2025,0.3,Simla,8000,12000,10000
Chattrapati Sambhajinagar,01-02-2025,28,Other,8000,13000,10500
,01-04-2025,12.5,Other,5500,17000,11250
,01-12-2025,55,Other,1000,15000,12500
,01/21/2025,17,Other,6000,12000,9000
,01/22/2025,10.5,Other,10000,16000,13000
,01/23/2025,11.2,Other,11000,18000,14500
,01/28/2025,33,Other,12000,17000,14500
,01/30/2025,35,Other,7000,14000,10500
Jalana,01-01-2025,7.4,Other,1500,11000,6000
,01/15/2025,7.4,Other,1500,11000,6000
,01/20/2025,7.6,Other,1500,11000,6000
,01/23/2025,6.4,Other,2000,11000,6000
Kalyan,01-02-2025,1.3,Simla,9000,10000,9500
,01-03-2025,0.3,Simla,8000,10000,9000
,01-04-2025,0.3,Simla,9000,10000,9500
,01-06-2025,0.3,Simla,10000,12000,11000
,01-07-2025,0.3,Simla,10000,12000,11000
,01/17/2025,0.3,Simla,12000,14000,13000
,01/20/2025,0.3,Simla,10000,14000,12000
,01/22/2025,0.3,Simla,12000,14000,13000
,01/24/2025,0.3,Simla,12000,15000,13500
,01/25/2025,0.3,Simla,12000,15000,13500
,01/26/2025,0.3,Simla,12000,15000,13500
,01/29/2025,0.3,Simla,12000,15000,13500
Kolhapur,01-01-2025,1.4,Other,3500,15000,5000
,01-02-2025,2.4,Other,4000,6500,5000
,01-05-2025,0.4,Other,3500,12500,10000
,01-06-2025,23,Other,3500,15000,4000
,01-07-2025,3.1,Other,3500,15000,4000
,01-08-2025,12.7,Other,3500,15000,5000
,01-09-2025,1.3,Other,4000,15000,5000
,01-11-2025,11,Other,3500,15000,12000
,01-12-2025,0.9,Other,3500,15000,4000
,01/13/2025,8.2,Other,3500,15000,4000
,01/14/2025,2.7,Other,3500,14000,4000
,01/15/2025,9.9,Other,5000,15000,12000
,01/18/2025,9.8,Other,3500,15000,4500
,01/19/2025,0.4,Other,6000,16000,12500
,01/20/2025,3.8,Other,3500,16000,4500
,01/21/2025,1.4,Other,3500,15000,4500
,01/22/2025,4.7,Other,3500,16000,5000
,01/23/2025,2.2,Other,4000,15000,5000
,01/25/2025,9.1,Other,3500,15000,5000
,01/27/2025,12.9,Other,3500,15000,5000
,01/28/2025,0.8,Other,4000,15000,5000
,01/29/2025,9.1,Other,3500,15000,5000
Mumbai- Fruit Market,01-01-2025,44.1,Other,8000,14000,11000
,01-02-2025,10.7,Other,8000,13000,10500
,01-04-2025,32.4,Other,8000,13000,10500
,01-06-2025,73,Other,7000,12000,9500
,01-07-2025,87.3,Other,7000,12000,9500
,01-09-2025,33.3,Other,7000,14000,10500
,01-10-2025,15.2,Other,7000,12000,9500
