Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Ahmednagar,01-02-2025,3.7,Other,2150,2850,2500
,01-03-2025,5.7,Other,2100,2800,2450
,01-06-2025,2.6,Other,2200,3400,2800
,01-07-2025,2.6,Other,2100,3000,2550
,01-10-2025,3.1,Other,2100,3100,2600
,01-11-2025,4.7,Other,2100,3000,2550
,01/13/2025,3.7,Other,2200,3000,2600
,01/15/2025,2.6,Other,2000,2600,2300
,01/22/2025,0.1,Other,2400,2400,2400
,01/29/2025,2.4,Other,2250,2600,2425
Akola,01-06-2025,0.4,Other,1950,1950,1950
,01/18/2025,0.5,Other,3400,3400,3400
,01/22/2025,0.5,Other,3400,3400,3400
Amalner,01-01-2025,2,Other,2300,2800,2800
,01-02-2025,1.5,Other,2300,2951,2951
,01-04-2025,2,Other,2082,2925,2925
,01-06-2025,2.5,Other,2161,2911,2911
,01-07-2025,2,Other,2235,2830,2830
,01-08-2025,2.5,Other,2251,2914,2914
,01-09-2025,2,Other,2220,2900,2900
,01-10-2025,2,Other,2612,2965,2965
,01-11-2025,2.5,Other,2200,2940,2940
,01/15/2025,4,Other,2111,2913,2913
,01/16/2025,2,Other,2056,2211,2211
,01/17/2025,3,Other,2141,2965,2965
,01/18/2025,2.5,Other,2251,2851,2851
,01/20/2025,2,Other,2100,2966,2966
,01/21/2025,2,Other,2200,2901,2901
,01/22/2025,1.5,Other,2230,3000,3000
,01/24/2025,6,Other,2101,2859,2859
,01/25/2025,3.5,Other,2400,2900,2900
,01/30/2025,2,Other,3031,3031,3031
,,,Other,2100,2100,2100
,01/31/2025,4,Other,2100,2550,2550
,,,Other,2650,3000,3000
Amarawati,01-01-2025,0.3,Other,2800,3100,2950
,01-02-2025,0.3,Other,2800,3100,2950
,01-03-2025,0.3,Other,2800,3100,2950
,01-04-2025,0.3,Other,2500,2800,2650
,01-06-2025,0.3,Other,2700,3000,2850
,01-07-2025,0.3,Other,2800,3100,2950
,01-08-2025,0.3,Other,2800,3100,2950
,01-09-2025,0.3,Other,2800,3100,2950
,01-11-2025,0.3,Other,2800,3100,2950
,01/13/2025,0.3,Other,2700,3000,2850
,01/14/2025,0.3,Other,2800,3200,3000
,01/16/2025,0.3,Other,2800,3100,2950
,01/17/2025,0.3,Other,2800,3100,2950
,01/18/2025,0.3,Other,2800,3100,2950
,01/22/2025,0.3,Other,2625,3000,2812
,01/24/2025,0.3,Other,2625,3000,2812
,01/25/2025,0.3,Other,2625,3100,2862
,01/27/2025,0.3,Other,2625,3100,2862
,01/28/2025,0.3,Other,2800,3100,2950
,01/29/2025,0.3,Other,2800,3100,2950
,01/30/2025,0.3,Other,2800,3100,2950
,01/31/2025,0.3,Other,2800,3000,2900
Ambad (Vadigodri),01-02-2025,1.5,Other,1900,3000,2860
,01-03-2025,0.4,Other,2700,2700,2700
,01-04-2025,0.3,Other,1800,3100,2700
,01-10-2025,0.5,Other,2470,3100,2700
Ashti(Jalna),01/20/2025,0.1,Other,2600,2600,2600
Baramati,01/27/2025,15.2,Other,1600,2624,2600
,01/30/2025,14.4,Other,2510,2624,2600
,,,Other,2625,3333,2700
Beed,01-01-2025,0.9,Other,2351,4100,2780
,01-02-2025,0.9,Other,2600,3100,2767
,01-03-2025,1.5,Other,2000,4700,3125
,01-04-2025,0.7,Other,3021,3251,3158
,01-06-2025,0.4,Other,2060,3000,2454
,01-07-2025,0.8,Other,2701,3351,3026
,01-08-2025,0.8,Other,2451,4300,3684
,01-09-2025,0.5,Other,2360,4950,3655
,01-10-2025,0.3,Other,2680,3130,2905
,01-11-2025,0.5,Other,2535,3055,2795
,01/13/2025,2.6,Other,2500,3353,2880
,01/16/2025,0.9,Other,2480,2960,2777
,01/17/2025,2.3,Other,2770,3000,2900
,01/18/2025,0.2,Other,3500,3500,3500
,01/21/2025,2.1,Other,2100,2510,2300
,01/22/2025,1.6,Other,2000,2500,2300
,01/23/2025,0.9,Other,2280,2500,2400
,01/24/2025,0.5,Other,2100,2570,2304
,01/25/2025,0.8,Other,2000,2500,2300
,01/27/2025,0.6,Other,1900,2550,2270
,01/28/2025,0.2,Other,2050,2450,2200
,01/30/2025,1.5,Other,1900,2500,2300
,01/31/2025,0.4,Other,1900,1900,1900
Bhokardan,01-11-2025,0.3,Other,2200,2300,2250
,01/25/2025,1.5,Other,2100,2250,2200
Chalisgaon,01-01-2025,10,Other,2201,3226,2850
,01-06-2025,10,Other,2200,3051,2850
,01-07-2025,10,Other,2200,3051,2800
,01-08-2025,12.5,Other,2200,3061,2800
,01/16/2025,10,Other,2200,3000,2750
,01/20/2025,13.5,Other,2630,3030,2850
,01/21/2025,10,Other,2625,2955,2750
,01/22/2025,10,Other,2625,3031,2700
,01/23/2025,6.5,Other,2630,3000,2750
,01/28/2025,10,Other,2650,3000,2800
,01/29/2025,9,Other,2630,3180,2850
,01/31/2025,10,Other,2625,3150,2752
Chattrapati Sambhajinagar,01-01-2025,2.1,Other,2200,2800,2500
,01-02-2025,0.9,Other,2400,3000,2700
,01-03-2025,0.1,Other,2750,2750,2750
,01-04-2025,0.7,Other,2100,3175,2638
,01-06-2025,1.6,Other,2711,2905,2808
,01-07-2025,1.5,Other,2100,2700,2400
,01-08-2025,0.6,Other,2200,2800,2500
,01-10-2025,0.9,Other,2200,2950,2575
,01-11-2025,1.3,Other,2000,2650,2325
,01/13/2025,5.6,Other,2775,3000,2888
,01/14/2025,1.5,Other,2323,3657,2990
,01/16/2025,1.7,Other,2931,3032,2992
,01/18/2025,0.8,Other,2300,2700,2500
,01/21/2025,0.8,Other,2200,3010,3005
,01/22/2025,0.4,Other,2650,2650,2650
,01/24/2025,1.8,Other,2340,3051,2963
,01/25/2025,0.9,Other,2600,3099,2976
,01/27/2025,0.2,Other,3111,3111,3111
,01/29/2025,0.2,Other,2300,2300,2300
,01/30/2025,0.4,Other,2300,2600,2450
,,,Other,2900,3000,2950
,01/31/2025,0.8,Other,2686,3076,2881
,,,Other,2000,2000,2000
Chikali,01-04-2025,0.3,Other,2700,2951,2825
,01-06-2025,0.2,Other,2700,2700,2700
,01-07-2025,0.5,Other,2700,2750,2725
,01-08-2025,0.1,Other,2501,2501,2501
,01-11-2025,0.2,Other,2700,2700,2700
,01/13/2025,0.2,Other,2500,2500,2500
,01/17/2025,0.3,Other,2550,2550,2550
,01/18/2025,0.3,Other,2751,2751,2751
,01/30/2025,0.6,Other,2300,2300,2300
Chopada,01-02-2025,0.3,Other,2731,2731,2731
,01-07-2025,0.1,Other,3100,3100,3100
,01-08-2025,0.6,Other,2152,3008,2870
,01-10-2025,0.5,Other,2452,3062,3000
,01/13/2025,0.6,Other,2800,3126,2851
,01/16/2025,0.2,Other,2975,3032,2975
,01/17/2025,0.1,Other,2901,2901,2901
,01/18/2025,1.5,Other,3035,3035,3035
,01/22/2025,0.1,Other,2899,2899,2899
,01/23/2025,0.2,Other,2900,3100,2900
,01/31/2025,0.1,Other,2751,2751,2751
Deoulgaon Raja,01/13/2025,0.9,Other,2351,3000,2600
,01/22/2025,0.2,Other,2100,2700,2700
Devala,01-01-2025,0.1,Other,2205,2700,2700
,01-03-2025,0.2,Other,2370,2400,2400
,01-06-2025,0.3,Other,2450,2845,2845
,01-08-2025,0.1,Other,2400,2400,2400
,01-09-2025,0.2,Other,2700,2985,2985
,01-10-2025,0.2,Other,2580,2915,2915
,01/16/2025,0.4,Other,2400,2880,2700
,01/17/2025,0.2,Other,2000,2850,2850
,01/20/2025,0.3,Other,2625,2900,2775
,01/21/2025,0.5,Other,2625,3055,3055
,01/22/2025,0.2,Other,2625,2880,2880
,01/24/2025,1.2,Other,2625,3130,2840
,01/27/2025,0.2,Other,2625,2735,2735
,01/28/2025,0.6,Other,2895,2950,2925
,01/30/2025,0.4,Other,2855,3280,3060
,01/31/2025,0.1,Other,2910,2910,2910
Dhule,01-01-2025,5.1,Other,2200,2855,2450
,01-02-2025,5,Other,2075,3050,2670
,01-03-2025,7,Other,2000,2905,2435
,01-04-2025,8.4,Other,2235,2600,2285
,01-06-2025,0.3,Other,2145,2810,2600
,01-07-2025,6.3,Other,2000,3050,2485
,01-08-2025,4.9,Other,2150,3055,2515
,01-09-2025,5.6,Other,2264,2800,2705
,01-10-2025,1.6,Other,2250,3275,2931
,01-11-2025,2.4,Other,2286,2412,2298
,01/14/2025,3.9,Other,2205,2900,2600
,01/24/2025,3.7,Other,1870,3000,2625
,01/25/2025,2.7,Other,2500,2600,2550
,01/27/2025,4.2,Other,2625,3205,2655
,,,Other,2260,2624,2600
,01/28/2025,12.4,Other,2230,2624,2500
,01/29/2025,3.5,Other,2625,3100,2750
,,,Other,2200,2624,2580
,01/30/2025,4.7,Other,2625,3005,2705
,,,Other,2231,2624,2400
,01/31/2025,1.2,Other,2625,3000,2700
,,,Other,2080,2624,2550
Dondaicha,01-03-2025,1.5,Other,2225,3000,2500
,01-06-2025,1.4,Other,2500,2551,2500
,01-07-2025,0.8,Other,2400,2800,2551
,01-10-2025,3.7,Other,2400,2701,2500
,01/13/2025,0.7,Other,2401,2800,2691
,01/15/2025,2.1,Other,2600,2700,2600
,01/16/2025,0.3,Other,2512,2526,2512
,01/17/2025,0.5,Other,2512,2651,2512
,01/23/2025,0.5,Other,2225,2550,2500
,01/24/2025,1.8,Other,2625,2800,2625
,01/27/2025,1.1,Other,2625,2861,2825
,01/28/2025,0.8,Other,2634,2634,2634
,01/29/2025,0.7,Other,1701,2301,2300
,01/30/2025,5.1,Other,2199,2624,2400
,01/31/2025,1.9,Other,2200,2500,2301
Dound,01-02-2025,1.3,Other,2600,3000,2800
,01-05-2025,0.3,Other,2650,2650,2650
,01-09-2025,1.7,Other,2300,3000,2600
,01-12-2025,2.4,Other,2000,2751,2500
,01/16/2025,2.3,Other,2000,3000,2650
,01/19/2025,0.4,Other,2500,2900,2900
,01/26/2025,0.5,Other,2700,2900,2700
,01/30/2025,0.6,Other,2400,2400,2400
,,,Other,2650,2800,2650
Gangapur,01-01-2025,1.2,Other,2501,2940,2841
,01-02-2025,2,Other,2726,2986,2870
,01-03-2025,2,Other,2475,3026,2800
,01-04-2025,1.8,Other,2800,3000,2980
,01-06-2025,1.1,Other,2200,2901,2600
,01-07-2025,4.2,Other,2275,2990,2700
,01-08-2025,1.5,Other,2800,3000,2925
