Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Ahmednagar,01/20/2025,0.9,Other,1000,2000,1500
,01/21/2025,0.8,Other,1000,2000,1500
,01/23/2025,1.4,Other,1000,2100,1550
,01/30/2025,1.4,Other,1500,2000,1750
Jalgaon,01-03-2025,0.5,Khandesh,300,400,350
,01/24/2025,0.3,Khandesh,300,500,400
,01/28/2025,0.5,Khandesh,300,500,400
Mumbai- Fruit Market,01-01-2025,10,Other,3500,4500,4000
,01-02-2025,20,Other,3500,4500,4000
,01-04-2025,31,Other,3500,4500,4000
,01-06-2025,20,Other,3000,4000,3500
,01-07-2025,10,Other,3000,4000,3500
,01-08-2025,20,Other,3000,4000,3500
,01-09-2025,11,Other,3000,4000,3500
,01-10-2025,10,Other,3000,4000,3500
,01/13/2025,10,Other,3000,4000,3500
,01/14/2025,14,Other,3000,4000,3500
,01/15/2025,10,Other,3000,4000,3500
,01/16/2025,20,Other,3000,3500,3250
,01/18/2025,10,Other,3000,4000,3500
,01/20/2025,20,Other,3500,4500,4000
,01/21/2025,10,Other,4000,5000,4500
,01/22/2025,11,Other,3000,4000,3500
,01/24/2025,21,Other,3500,4000,3750
,01/25/2025,10,Other,3500,4500,4000
,01/27/2025,6.5,Other,3000,4000,3500
,01/28/2025,10,Other,3000,4000,3500
,01/29/2025,10,Other,3000,4000,3500
,01/31/2025,10,Other,3000,4000,3500
Nagpur,01-01-2025,3.4,Khandesh,450,550,525
,01-02-2025,1.3,Khandesh,450,550,525
,01-03-2025,1,Khandesh,450,550,525
,01-04-2025,0.6,Khandesh,450,550,525
,01-06-2025,4.1,Khandesh,450,550,525
,01-07-2025,2.5,Khandesh,450,550,525
,01-08-2025,1.8,Khandesh,450,550,525
,01-09-2025,1.2,Khandesh,450,550,525
,01-10-2025,0.9,Khandesh,450,550,525
,01/13/2025,3.8,Khandesh,450,550,525
,01/14/2025,1.3,Khandesh,450,550,525
,01/15/2025,2.5,Khandesh,450,550,525
,01/16/2025,1.2,Khandesh,450,550,525
,01/17/2025,10.9,Khandesh,450,550,525
,01/18/2025,0.9,Khandesh,450,550,525
,01/20/2025,2.9,Khandesh,450,550,525
,01/21/2025,2,Khandesh,450,550,525
,01/22/2025,1.5,Khandesh,450,550,525
,01/23/2025,1,Khandesh,450,550,525
,01/24/2025,1.2,Khandesh,450,550,525
,01/25/2025,1,Khandesh,450,550,525
,01/28/2025,3.4,Khandesh,450,550,525
,01/29/2025,2.1,Khandesh,450,550,525
,01/31/2025,0.4,Khandesh,450,550,525
Nasik,01-01-2025,18,Khandesh,900,2000,1500
,01-02-2025,31,Khandesh,900,2000,1500
,01-03-2025,19,Khandesh,900,2000,1500
,01-04-2025,25,Khandesh,900,2000,1500
,01-06-2025,12,Khandesh,900,2000,1500
,01-07-2025,22,Khandesh,900,2000,1500
,01-08-2025,19,Khandesh,900,2000,1500
,01-09-2025,11,Khandesh,900,2000,1500
,01-10-2025,17,Khandesh,900,1400,1200
,01-11-2025,13,Khandesh,900,2000,1500
,01-12-2025,21,Khandesh,900,2000,1500
,01/13/2025,21,Khandesh,900,2000,1500
,01/14/2025,29,Khandesh,900,2000,1500
,01/15/2025,21,Khandesh,900,2000,1500
,01/16/2025,23,Khandesh,900,2000,1500
,01/17/2025,21,Khandesh,900,2000,1500
,01/18/2025,14,Khandesh,900,2000,1500
,01/19/2025,22,Khandesh,900,2000,1300
,01/21/2025,11,Khandesh,900,2000,1500
