Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Ahmednagar,01-12-2025,1.2,Other,9000,10000,9500
,01/20/2025,1.7,Other,5400,10500,9450
,01/21/2025,1.4,Other,8000,10000,9000
,01/23/2025,3.9,Other,4500,10000,7250
,01/27/2025,3,Other,4000,7000,5500
,01/30/2025,4.5,Other,4500,10000,7250
"Amrawati(Frui & Veg.
Market)",01-04-2025,5.4,Other,4000,4500,4250
,01-09-2025,13.5,Other,4000,5000,4500
,01-11-2025,6,Other,4000,5000,4500
,01-12-2025,10.2,Other,3500,4500,4000
,01/15/2025,3.4,Other,5000,6000,5500
,01/16/2025,8.3,Other,6000,7000,6500
,01/18/2025,23.3,Other,4000,5000,4500
,01/20/2025,5.5,Other,4000,5000,4500
,01/21/2025,13.6,Other,4000,5000,4500
,01/22/2025,4,Other,3500,4500,4000
,01/23/2025,5.5,Other,5000,6000,5500
,01/25/2025,5.2,Other,5000,7000,6000
,01/27/2025,7.9,Other,4000,7000,5500
,01/28/2025,9.1,Other,4000,7000,5500
,01/29/2025,5.5,Other,4000,7000,5500
,01/30/2025,9.8,Other,4000,6000,5000
Chattrapati Sambhajinagar,01-08-2025,0.7,Other,4000,8000,6000
,01-09-2025,0.4,Other,5000,10000,7500
,01-11-2025,0.7,Other,5000,7000,6000
,01/14/2025,0.7,Other,6000,11000,8500
,01/16/2025,0.7,Other,6000,11000,8500
,01/19/2025,3.9,Other,6000,11000,8500
,01/20/2025,1.3,Other,6500,11000,8750
,01/21/2025,1.9,Other,6000,10000,8000
,01/22/2025,2.1,Other,6000,12000,9000
,01/23/2025,2.4,Other,7000,10000,8500
,01/25/2025,2.2,Other,7000,12000,9500
,01/28/2025,1.6,Other,5500,11000,8250
,01/29/2025,1.3,Other,5000,16000,10500
,01/30/2025,2.4,Other,6500,12000,9250
Jalgaon,01/24/2025,0.8,Other,5000,5500,5200
,01/25/2025,2,Other,5000,7000,6000
,01/27/2025,0.3,Other,6000,6000,6000
,01/28/2025,0.9,Other,5000,6000,5500
,01/30/2025,0.4,Other,7000,7000,7000
Kalyan,01-03-2025,0.3,Other,4000,5000,4500
,01/22/2025,0.3,Other,5000,8000,6500
,01/26/2025,0.3,Other,5000,7000,6000
Mumbai- Fruit Market,01-01-2025,57.9,Other,6000,9000,7500
,01-02-2025,28.9,Other,6000,8000,7000
,01-03-2025,21.8,Other,7000,8000,7500
,01-04-2025,29.7,Other,6000,9000,8000
,01-06-2025,26,Other,6000,8000,7000
,01-07-2025,35.1,Other,7000,8000,7500
,01-08-2025,49.7,Other,7000,8000,7500
,01-09-2025,1.3,Other,8000,9000,8500
,01-10-2025,37.6,Other,7000,9000,8000
,01-11-2025,39.3,Other,6000,8000,7000
,01/14/2025,67.7,Other,5000,7000,6000
,01/15/2025,49.2,Other,7000,8000,7500
,01/16/2025,45,Other,5000,8000,6500
,01/17/2025,47,Other,6000,8000,7000
,01/18/2025,47.5,Other,6000,8000,7000
,01/21/2025,66.2,Other,5000,8000,6500
,01/22/2025,49.4,Other,6000,8000,7000
,01/23/2025,73,Other,5000,7000,6000
,01/24/2025,64.1,Other,6000,8000,7000
,01/25/2025,58.7,Other,6500,8500,7500
,01/28/2025,100.6,Other,7000,8000,7500
,01/29/2025,71.3,Other,5000,8000,6500
,01/31/2025,54.4,Other,6000,8000,7000
Nagpur,01-01-2025,1,Other,4000,6000,5500
,01-03-2025,4.5,Other,4000,6000,5500
,01-06-2025,6.9,Other,4000,6000,5500
,01-07-2025,8.2,Other,4000,6000,5500
,01-08-2025,4.3,Other,4000,6000,5500
,01-10-2025,4.2,Other,4000,6000,5500
,01/13/2025,10,Other,4000,6000,5500
,01/14/2025,15.2,Other,4000,6000,5500
,01/15/2025,7.5,Other,4000,6000,5500
,01/18/2025,0.6,Other,4000,6000,5500
,01/20/2025,33.4,Other,4000,6000,5500
,01/21/2025,17.2,Other,4000,6000,5500
,01/22/2025,11.9,Other,4000,6000,5500
,01/23/2025,1,Other,4000,6000,5500
,01/24/2025,14.9,Other,4000,6000,5500
,01/25/2025,0.8,Other,4000,6000,5500
,01/28/2025,20.6,Other,4000,6000,5500
,01/29/2025,14,Other,4000,6000,5500
Pune,01-01-2025,4.3,Other,4000,14000,9000
,01-02-2025,13,Other,2000,12000,7000
,01-03-2025,13.1,Other,2000,11000,6500
,01-05-2025,26.5,Other,2000,14000,8000
,01-06-2025,22.3,Other,2000,12000,7000
,01-07-2025,17.3,Other,2000,11000,6500
,01-08-2025,9.7,Other,2000,10000,6000
,01-09-2025,16.3,Other,2000,11000,6500
,01-10-2025,19.5,Other,2000,11000,6500
,01-12-2025,32.9,Other,2000,11000,6500
,01/13/2025,14.1,Other,2000,11000,6500
,01/14/2025,13.7,Other,2000,11000,6500
,01/15/2025,13.6,Other,2000,15000,8500
,01/16/2025,20.6,Other,2000,12000,7000
,01/17/2025,22.4,Other,2000,11000,6500
,01/19/2025,36.1,Other,2000,13000,7500
,01/20/2025,22.3,Other,2000,13000,7500
,01/21/2025,35.9,Other,2000,12000,7000
,01/22/2025,22.4,Other,2000,11000,6500
,01/23/2025,39.3,Other,2000,12000,7000
,01/24/2025,43.2,Other,2500,12500,7500
,01/27/2025,47.3,Other,2000,13000,7500
,01/28/2025,4.6,Other,2000,14000,8000
,01/29/2025,39.6,Other,2000,10000,6000
,01/30/2025,41.6,Other,2000,15000,8500
Pune(Manjri),01/15/2025,0.1,Other,4000,5000,4500
,01/29/2025,0.4,Other,4000,6000,5000
,01/30/2025,0.5,Other,5000,7000,6000
,01/31/2025,0.5,Other,4000,6000,5000
Pune(Moshi),01-02-2025,1.5,Other,8000,9000,8500
,01-03-2025,1.4,Other,8000,9000,8500
,01-05-2025,1.5,Other,8000,8000,8000
,01-06-2025,0.2,Other,10000,10000,10000
,01-07-2025,0.3,Other,8000,8000,8000
,01-09-2025,1.7,Other,7000,8000,7500
,01-10-2025,0.7,Other,7000,8000,7500
,01-11-2025,0.6,Other,8000,8000,8000
,01-12-2025,2.5,Other,8000,8000,8000
,01/13/2025,2.7,Other,7000,8000,7500
,01/14/2025,0.5,Other,7000,7000,7000
,01/16/2025,2.9,Other,8000,8000,8000
,01/17/2025,0.2,Other,10000,10000,10000
,01/18/2025,1.9,Other,10000,12000,11000
,01/19/2025,3.2,Other,8000,10000,9000
,01/20/2025,1.8,Other,9000,10000,9500
,01/21/2025,1.7,Other,10000,10000,10000
,01/23/2025,4.4,Other,8000,12000,10000
,01/24/2025,4.4,Other,8000,10000,9000
,01/25/2025,1.9,Other,10000,11000,10500
,01/27/2025,5.4,Other,10000,11000,10500
,01/28/2025,2.7,Other,10000,12000,11000
,01/30/2025,9.8,Other,8000,11000,9500
,01/31/2025,0.1,Other,10000,10000,10000
Rahata,01/26/2025,0.1,Other,3000,3000,3000
Rahuri,01/15/2025,0.2,Other,2500,6000,4250
,01/16/2025,0.3,Other,2500,5000,3750
"Sangli(Phale, Bhajipura Market)",01-11-2025,0.9,Other,4000,5000,4500
,01/13/2025,1.3,Other,3000,4000,3500
,01/14/2025,0.8,Other,2000,4000,3000
,01/15/2025,3.4,Other,2000,5000,3500
,01/18/2025,1.8,Other,2000,4000,3000
,01/20/2025,6,Other,3000,4000,3500
,01/22/2025,3.5,Other,3000,5000,4000
,01/24/2025,0.2,Other,2000,4000,3000
,01/25/2025,2.5,Other,2000,5000,3500
,01/28/2025,2,Other,3000,5000,4000
,01/29/2025,8.5,Other,2000,5000,3500
,01/31/2025,17,Other,2000,5000,3500
Solapur,01-01-2025,75,Other,160,160,160
,01-02-2025,225,Other,120,200,160
,01-03-2025,122,Other,240,240,240
,01-04-2025,250,Other,150,280,200
,01-06-2025,477,Other,160,240,200
,01-07-2025,175,Other,120,240,160
,01-08-2025,135,Other,120,240,160
,01-09-2025,890,Other,160,240,200
,01-10-2025,1102,Other,160,240,200
,01-11-2025,100,Other,160,240,200
,01/15/2025,100,Other,160,240,200
,01/16/2025,905,Other,150,240,180
,01/17/2025,175,Other,160,240,200
,01/18/2025,480,Other,160,240,200
,01/20/2025,518,Other,100,220,160
,01/21/2025,210,Other,160,320,200
,01/22/2025,843,Other,160,280,200
,01/23/2025,557,Other,140,280,200
,01/24/2025,782,Other,160,280,200
,01/25/2025,670,Other,160,240,200
,01/27/2025,9,Other,1200,2000,1600
,01/28/2025,685,Other,100,200,160
,01/29/2025,362,Other,160,200,180
,01/30/2025,375,Other,160,200,180
,01/31/2025,655,Other,120,200,170
Ahmednagar,02-02-2025,17.2,Other,4000,10000,7000
,02-03-2025,8,Other,2000,8000,5000
,02-04-2025,4.3,Other,3000,7500,5250
,02/20/2025,12.3,Other,1500,8000,4750
,02/21/2025,8.7,Other,2500,6000,4250
,02/27/2025,25.7,Other,2000,7000,4500
Amrawati(Frui & Veg. Market),02-01-2025,12.1,Other,4000,5000,4500
,02-02-2025,43.6,Other,4000,5000,4500
,02-03-2025,44.8,Other,3500,4500,4000
,02-04-2025,8.2,Other,4000,5000,4500
,02-05-2025,10.1,Other,4000,5000,4500
,02-06-2025,12.1,Other,4000,5000,4500
,02-08-2025,11.8,Other,4000,5000,4500
,02/13/2025,12.1,Other,3000,5000,4000
,02/15/2025,10,Other,4000,6000,5000
,02/16/2025,11.5,Other,4000,6000,5000
,02/17/2025,12.6,Other,4000,6000,5000
,02/18/2025,13.1,Other,3500,5500,4500
,02/20/2025,13.4,Other,3500,4500,4000
,02/22/2025,12.7,Other,3000,4000,3500
,02/23/2025,13.2,Other,3000,4000,3500
,02/24/2025,12.4,Other,2500,3500,3000
,02/25/2025,13.5,Other,4000,6000,5000
,02/26/2025,7.8,Other,4000,6000,5000
,02/27/2025,9.1,Other,4000,6000,5000
Chattrapati Sambhajinagar,02-01-2025,4,Other,6000,13000,9500
,02-02-2025,2.3,Other,5000,12000,8500
,02-03-2025,9.6,Other,5000,13000,9000
,02-04-2025,3,Other,7000,11000,9000
,02-05-2025,3.2,Other,5000,10000,7500
,02-06-2025,3,Other,6000,8000,7000
,02-09-2025,3.5,Other,4000,16000,10000
,02/13/2025,5.2,Other,6000,8000,7000
,02/15/2025,4,Other,7000,9000,8000
,02/17/2025,3.7,Other,5500,7500,6500
,02/18/2025,7,Other,3500,5500,4500
,02/19/2025,8,Other,5500,7500,6500
,02/22/2025,11,Other,6000,8000,7000
,02/23/2025,13,Other,4200,6700,5450
,02/24/2025,11,Other,4000,11000,7500
,02/25/2025,17,Other,5000,8000,6500
,02/26/2025,11.3,Other,4500,7500,6000
,02/27/2025,6.5,Other,6000,8500,7250
Dharashiv,02-02-2025,0.7,Other,2000,6000,4000
,02-05-2025,1.2,Other,2000,4000,3000
,02-08-2025,0.6,Other,2000,4500,3250
,02/15/2025,0.4,Other,1500,4100,2800
,02/20/2025,1.2,Other,2000,6000,4000
,02/21/2025,0.8,Other,2000,5000,3500
,02/22/2025,0.4,Other,1500,4000,2750
,02/23/2025,1,Other,1600,4000,2800
,02/25/2025,1.2,Other,1000,5000,3000
,02/26/2025,1.4,Other,1000,6600,3800
,02/27/2025,0.3,Other,1200,4000,2600
,02/28/2025,1,Other,1000,4000,2500
Jalgaon,02-04-2025,1.1,Other,5000,7000,6000
,02-05-2025,1,Other,5000,7000,6000
,02-06-2025,1,Other,5000,7000,6000
,02-07-2025,0.9,Other,4000,7000,5500
,02-08-2025,0.2,Other,6000,6000,6000
,02/13/2025,0.5,Other,5500,5500,5500
,02/15/2025,0.2,Other,7000,7000,7000
,02/17/2025,2.5,Other,3300,7000,5000
,02/18/2025,0.9,Other,4000,6000,5000
,02/22/2025,2.4,Other,3000,5000,4000
,02/24/2025,0.6,Other,3000,5000,4000
,02/25/2025,0.4,Other,7000,7000,7000
Kalyan,02/13/2025,0.3,Other,8000,9000,8500
Lasalgaon(Niphad),02/14/2025,166,Other,1000,3100,2200
,02/15/2025,210,Other,600,2600,2000
,02/16/2025,200,Other,700,2650,2000
,02/17/2025,240,Other,1000,2600,2100
,02/18/2025,322,Other,900,2550,2000
,02/19/2025,296,Other,800,2500,2100
,02/20/2025,177,Other,800,2700,2000
,02/21/2025,209,Other,900,2500,2100
,02/22/2025,338,Other,800,2650,2050
,02/23/2025,317,Other,800,2600,1950
,02/24/2025,400,Other,800,2450,1950
,02/25/2025,348,Other,800,2500,2100
,02/26/2025,256,Other,500,2700,2200
,02/27/2025,344,Other,800,2900,2200
,02/28/2025,371,Other,825,2900,2300
Mumbai- Fruit Market,02-01-2025,257.2,Other,6000,8000,7000
,02-03-2025,1.6,Other,6000,8000,7000
,02-04-2025,104.1,Other,6000,8000,7000
,02-05-2025,74.1,Other,6000,9000,7500
,02-06-2025,63.3,Other,6000,9000,7500
,02-07-2025,70.1,Other,6000,9000,7500
,02/13/2025,83.2,Other,7000,9000,8000
,02/14/2025,76.6,Other,7000,9000,8000
,02/15/2025,47.4,Other,7000,9000,8000
,02/17/2025,3.6,Other,7000,9000,8500
,02/18/2025,40,Other,7000,9000,8000
,02/19/2025,61.7,Other,7000,9000,8000
,02/20/2025,63.5,Other,7000,9000,8000
,02/21/2025,70,Other,7000,9000,8000
,02/22/2025,89.3,Other,7000,9000,8000
,02/24/2025,63.7,Other,7000,9000,8000
,02/25/2025,39.1,Other,7000,9000,8000
,02/26/2025,99.8,Other,7000,9000,8000
,02/27/2025,80.2,Other,7000,9000,8000
,02/28/2025,57.5,Other,7000,9000,8000
Nagpur,02-01-2025,0.3,Other,4000,6000,5500
,02-03-2025,34.2,Other,11000,13000,12500
