Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Aatpadi,02-01-2025,0.7,Other,300,2500,1400
,08-01-2025,0.6,Other,200,3100,1600
,21-01-2025,0.9,Other,1100,3500,2300
,26-01-2025,0.8,Other,500,2500,1500
,28-01-2025,0.6,Other,1000,2000,1500
Ahmednagar,04-01-2025,6.2,Other,800,2200,1500
,06-01-2025,4.3,Other,800,3000,1900
,12-01-2025,8.1,Other,500,3500,2000
,20-01-2025,3,Other,1000,3500,2250
,21-01-2025,1.6,Other,1000,3500,2250
,23-01-2025,2.9,Other,1000,3700,2350
,27-01-2025,3.4,Other,1000,3500,2250
,30-01-2025,0.8,Other,3600,4500,4050
"Amrawati(Frui & Veg.
Market)",01-01-2025,6.7,Other,1500,1800,1650
,02-01-2025,13.4,Other,1200,1600,1400
,04-01-2025,10.3,Other,1200,1800,1500
,05-01-2025,11.3,Other,1500,2000,1750
,06-01-2025,11.3,Other,1500,2000,1750
,07-01-2025,11.3,Other,1500,2000,1750
,08-01-2025,10.5,Other,1500,2000,1750
,09-01-2025,6.7,Other,1500,2000,1750
,11-01-2025,10.4,Other,1500,2000,1750
,12-01-2025,13.3,Other,1500,2000,1750
,13-01-2025,11.3,Other,1600,2200,1900
,14-01-2025,10.8,Other,1500,2000,1750
,15-01-2025,11.3,Other,1500,2000,1750
,18-01-2025,11.3,Other,1500,2000,1750
,19-01-2025,11.8,Other,1200,2000,1600
,20-01-2025,7.3,Other,1200,1500,1350
,21-01-2025,6.7,Other,1500,2000,1750
,25-01-2025,8.2,Other,1500,2000,1750
,27-01-2025,11.4,Other,2000,2500,2250
,28-01-2025,0.8,Other,1800,2200,2000
,29-01-2025,4.3,Other,1500,2000,1750
,30-01-2025,1,Other,1500,2000,1750
Chattrapati Sambhajinagar,01-01-2025,2.7,Other,1400,2500,1950
,02-01-2025,2.5,Other,500,2500,1500
,04-01-2025,3.1,Other,1200,2200,1700
,05-01-2025,1.2,Other,1000,2500,1750
,06-01-2025,1.6,Other,1500,2500,2000
,07-01-2025,1.8,Other,1000,2500,1750
,08-01-2025,1.8,Other,2000,2500,2250
,09-01-2025,0.8,Other,1500,2500,2000
,11-01-2025,1.7,Other,1200,2000,1600
,12-01-2025,4,Other,1500,2000,1750
,13-01-2025,2.8,Other,1500,2500,2000
,14-01-2025,3.4,Other,1500,3000,2250
,15-01-2025,1.6,Other,2500,3000,2750
,16-01-2025,3.2,Other,2000,3200,2600
,18-01-2025,3,Other,1200,2200,1700
,19-01-2025,3.2,Other,1000,1800,1400
,20-01-2025,2.8,Other,1200,2000,1600
,21-01-2025,1.5,Other,1000,1800,1400
,22-01-2025,1.4,Other,1000,1600,1300
,23-01-2025,1.5,Other,1200,2000,1600
,25-01-2025,2.7,Other,1800,2000,1900
,26-01-2025,3.1,Other,1500,3000,2250
,27-01-2025,3.3,Other,1800,3000,2400
,28-01-2025,1.6,Other,3000,5000,4000
,29-01-2025,2.2,Other,3000,4500,3750
Dharashiv,01-01-2025,0.3,Other,1800,2500,2150
,03-01-2025,0.7,Other,1500,2000,1750
,08-01-2025,0.3,Other,2000,2000,2000
Hingna,04-01-2025,0.1,Other,1000,2000,1600
Jalana,01-01-2025,5.2,Other,300,2500,1200
,15-01-2025,5.2,Other,300,2500,1200
,20-01-2025,5.4,Other,250,1500,900
,23-01-2025,5.4,Other,300,1400,800
Jalgaon,02-01-2025,0.9,Other,1000,2000,1500
,04-01-2025,0.6,Other,1000,1500,1200
,06-01-2025,0.8,Other,1000,1500,1200
