Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Ahmednagar,01-06-2025,3.2,Other,1000,6000,3500
,01-12-2025,3.2,Other,1000,5000,3000
,01/20/2025,6.1,Other,1000,6500,3750
,01/21/2025,11.3,Other,1000,7000,4000
,01/23/2025,11,Other,1000,6500,3750
,01/27/2025,6.7,Other,1000,5500,3250
,01/30/2025,14.7,Other,1000,5500,3250
"Amrawati(Frui & Veg.
Market)",01-01-2025,7.3,Other,1500,2000,1750
,01-02-2025,10.5,Other,1500,2200,1850
,01-04-2025,6.7,Other,1600,2400,2000
,01-05-2025,5.6,Other,2000,2500,2250
,01-06-2025,1.8,Other,2000,3000,2500
,01-07-2025,6.9,Other,2000,2500,2250
,01-08-2025,5.5,Other,2000,2600,2300
,01-09-2025,10.4,Other,2000,2500,2250
,01-11-2025,6.7,Other,2200,2800,2600
,01-12-2025,5.6,Other,2000,3000,2500
,01/13/2025,5.4,Other,2200,2800,2500
,01/14/2025,13.1,Other,2000,2800,2400
,01/15/2025,8.4,Other,1500,2000,1750
,01/16/2025,6.7,Other,1400,2000,1700
,01/18/2025,5.4,Other,1500,2000,1750
,01/19/2025,6.8,Other,1200,1800,1500
,01/20/2025,5.4,Other,1500,2000,1750
,01/21/2025,5.5,Other,1400,2000,1700
,01/22/2025,4.8,Other,1600,2200,1900
,01/23/2025,10.4,Other,1500,2500,2000
,01/25/2025,6.8,Other,1500,2000,1750
,01/27/2025,5.4,Other,1200,2000,1600
,01/28/2025,4.7,Other,1500,2000,1750
,01/29/2025,5.3,Other,1200,2000,1600
,01/30/2025,6.7,Other,1200,1800,1500
Chattrapati Sambhajinagar,01-01-2025,3.9,Other,2500,4000,3250
,01-02-2025,6.5,Other,1500,3500,2500
,01-04-2025,3.4,Other,2500,3700,3100
,01-07-2025,3,Other,3500,4000,3750
,01-08-2025,1.3,Other,2200,4000,3100
,01-09-2025,2.9,Other,3500,4000,3750
,01-11-2025,4.8,Other,3000,3500,3250
,01-12-2025,7,Other,1400,3200,2300
,01/13/2025,6,Other,2500,3400,2950
,01/14/2025,3.7,Other,2000,3200,2600
,01/16/2025,4.5,Other,2000,4000,3000
,01/18/2025,17,Other,2000,3200,2600
,01/19/2025,11,Other,1700,2800,2250
,01/21/2025,4.5,Other,2000,3400,2600
,01/22/2025,6.5,Other,2000,3500,2750
,01/23/2025,6.7,Other,1700,2500,2100
,01/26/2025,8,Other,2300,3300,2800
,01/27/2025,8.3,Other,2400,3500,2950
,01/28/2025,8,Other,2500,3700,3100
,01/29/2025,5.5,Other,2200,2800,2500
Hingna,01/20/2025,0.1,Other,2000,2000,2000
,01/21/2025,0.1,Other,1750,1750,1750
Jalgaon,01/25/2025,3,Other,4000,5000,4500
,01/30/2025,5,Other,3000,5000,4000
Kalyan,01-03-2025,0.3,Other,2500,3500,3000
,01-04-2025,0.3,Other,2500,3500,3000
,01-06-2025,0.3,Other,2000,4000,3000
,01/22/2025,0.3,Other,5000,6000,5500
,01/29/2025,0.3,Other,4000,5000,4500
Kamthi,01-01-2025,0.5,Other,1500,2500,2000
,01-05-2025,1.6,Other,1500,2500,2000
,01-08-2025,0.6,Other,1500,2500,2000
,01-10-2025,1,Other,1500,2500,2000
Mumbai- Fruit Market,01-01-2025,243.5,Other,2500,6000,4250
,01-02-2025,244.2,Other,2500,6000,4250
,01-03-2025,133,Other,5000,6000,5500
,01-04-2025,344.9,Other,2500,6000,4750
,01-06-2025,354.9,Other,3000,5000,4000
,01-07-2025,459.9,Other,3500,4500,4000
,01-08-2025,317,Other,4000,5000,4500
,01-09-2025,148.4,Other,4000,5000,4500
,01-10-2025,200,Other,3500,4500,4000
,01-11-2025,202.6,Other,2500,5000,3750
,01/13/2025,123.9,Other,3000,5000,4000
,01/14/2025,388.5,Other,2500,4000,3250
,01/15/2025,238.1,Other,3500,4000,3750
,01/16/2025,273.8,Other,2000,4000,3000
,01/17/2025,293.6,Other,2000,4000,3000
,01/18/2025,74,Other,3000,5000,4000
,01/20/2025,121.8,Other,3000,5000,4000
,01/21/2025,312.5,Other,2500,5000,3750
,01/22/2025,330.1,Other,2000,5000,3500
,01/23/2025,294.4,Other,2000,5000,3500
,01/24/2025,187.7,Other,3000,5500,4250
,01/25/2025,347.6,Other,3000,5000,4000
,01/27/2025,146.6,Other,2500,5000,3750
,01/28/2025,389.2,Other,3500,4000,3750
,01/29/2025,228.6,Other,2500,5000,3750
,01/31/2025,232,Other,3000,5000,4000
Nagpur,01/16/2025,1,Other,3300,3900,3750
,01/18/2025,1,Other,3000,3400,3375
,01/23/2025,0.3,Other,4000,4600,4450
,01/31/2025,150,Other,3000,3600,3450
Nasik,01-01-2025,22.7,Other,2500,4500,3500
,01-02-2025,6.4,Other,2500,4500,3500
,01-03-2025,15.4,Other,2500,4500,3500
,01-04-2025,31,Other,2500,4500,3500
,01-05-2025,20.8,Other,2500,4500,3500
,01-06-2025,29.4,Other,2500,4500,3500
,01-07-2025,18.4,Other,2500,4500,3500
,01-08-2025,34.6,Other,2500,4500,3500
,01-09-2025,16,Other,2500,4500,3500
,01-10-2025,28.2,Other,2500,4500,3500
,01-11-2025,43.4,Other,2500,4500,3500
,01-12-2025,16.1,Other,2500,4500,3500
,01/13/2025,23,Other,2500,4500,3500
,01/14/2025,21,Other,2500,4500,3500
,01/15/2025,12.6,Other,2500,4500,3500
,01/17/2025,32.5,Other,2500,4500,3500
,01/18/2025,35,Other,2500,4500,3500
,01/19/2025,18,Other,2500,4500,3500
,01/20/2025,15.6,Other,2500,4500,3500
,01/21/2025,18.3,Other,2500,4500,3500
,01/22/2025,14.4,Other,2500,4500,3500
,01/23/2025,6,Other,2500,4500,3500
,01/24/2025,43.7,Other,2500,4500,3500
,01/25/2025,6,Other,2500,4500,3500
,01/26/2025,15.8,Other,2500,4500,3500
,01/27/2025,33.6,Other,2500,4500,3500
,01/28/2025,19.4,Other,2500,4500,3500
,01/29/2025,33.1,Other,2500,4500,3500
,01/30/2025,45.4,Other,2500,4500,3500
,01/31/2025,10.2,Other,2500,4500,3500
Pune,01-01-2025,65.4,Other,2500,4500,3500
,01-02-2025,93.4,Other,2500,4500,3500
,01-03-2025,61.6,Other,2000,4000,3000
,01-05-2025,167.8,Other,2000,4500,3200
,01-06-2025,80.6,Other,2000,4500,3200
,01-07-2025,100.4,Other,2000,4500,3200
,01-08-2025,101.2,Other,2000,6000,4000
,01-09-2025,73.7,Other,2000,5000,3500
,01-10-2025,84.4,Other,2500,5000,3700
,01-12-2025,205.8,Other,2000,4500,3200
,01/13/2025,63.2,Other,2000,5000,3500
,01/14/2025,100,Other,2000,3500,2700
,01/15/2025,86.9,Other,2000,5000,3500
,01/16/2025,27.2,Other,2000,4000,3000
,01/17/2025,36.3,Other,2500,4000,3200
,01/19/2025,84.2,Other,2000,3000,2500
,01/20/2025,30.4,Other,2500,4000,3200
,01/21/2025,41.8,Other,2500,3500,3000
,01/22/2025,29.3,Other,2500,4000,3200
,01/23/2025,42,Other,2000,5000,3700
,01/24/2025,67.7,Other,2500,4500,3500
,01/27/2025,79.9,Other,2000,4500,3200
,01/28/2025,42.8,Other,2000,4000,3000
,01/29/2025,34.6,Other,2500,6000,4200
,01/30/2025,52.2,Other,2000,6000,4000
,01/31/2025,42.3,Other,2400,4500,3400
Pune(Moshi),01-02-2025,3.1,Other,3500,4000,3750
,01-03-2025,2.1,Other,4000,4000,4000
,01-04-2025,2.3,Other,3500,3500,3500
,01-05-2025,5.2,Other,4000,4000,4000
,01-06-2025,2.5,Other,3000,4000,3500
,01-07-2025,3.5,Other,4000,4000,4000
,01-09-2025,5.1,Other,3500,3500,3500
,01-10-2025,3.2,Other,4000,4000,4000
,01-11-2025,1.2,Other,3000,4000,3500
,01-12-2025,4.9,Other,4000,4000,4000
,01/13/2025,3.5,Other,4000,4000,4000
,01/14/2025,1.9,Other,3500,3500,3500
,01/16/2025,5.5,Other,4000,4000,4000
,01/17/2025,2.2,Other,5000,5000,5000
,01/18/2025,0.7,Other,5000,6000,5500
,01/19/2025,4,Other,5000,5000,5000
,01/20/2025,1.8,Other,5000,5000,5000
,01/21/2025,1,Other,5000,6000,5500
,01/23/2025,2.6,Other,3000,4000,3500
,01/24/2025,3.2,Other,6000,6000,6000
,01/25/2025,2.5,Other,5000,5000,5000
,01/27/2025,2.6,Other,4000,5000,4500
,01/28/2025,3.3,Other,5000,6000,5500
,01/30/2025,3.9,Other,4000,5000,4500
,01/31/2025,2.8,Other,4500,4500,4500
Rahuri,01-01-2025,0.2,Other,1000,6000,3500
,01-02-2025,0.9,Other,1000,4700,2850
,01-04-2025,0.3,Other,500,7500,4000
,01-06-2025,0.2,Other,300,4700,2500
