Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Aatpadi,01-01-2025,23,Other,1000,21000,11000
,03-01-2025,30.2,Other,1000,21000,11000
,05-01-2025,36.1,Other,1000,18100,9500
,06-01-2025,27.9,Other,1000,22000,11500
,07-01-2025,34.3,Other,1000,27000,14000
,08-01-2025,28.4,Other,1000,22500,11800
,16-01-2025,47.5,Other,1000,15500,8200
,19-01-2025,46,Other,1000,17100,9000
,20-01-2025,42.1,Other,1000,17100,9000
,22-01-2025,31.4,Other,1000,15100,8000
,23-01-2025,37.6,Other,1000,16100,8500
,24-01-2025,37.2,Other,1000,16900,8900
,26-01-2025,32.7,Other,1000,14100,7500
,27-01-2025,35.1,Other,1000,15500,8200
,29-01-2025,39.7,Other,1000,19100,10000
,31-01-2025,31.1,Other,1000,16500,8700
Ahmednagar,04-01-2025,2,Other,1500,19000,10250
,06-01-2025,1.1,Other,3000,12000,7500
,12-01-2025,2,Other,2000,18000,10000
,20-01-2025,2.4,Other,2000,20000,11000
,21-01-2025,1.2,Other,2000,21000,11500
,23-01-2025,3.1,Other,2000,20500,11250
,27-01-2025,0.7,Other,1500,18000,9750
,30-01-2025,0.9,Other,1000,15000,8000
Amrawati(Frui & Veg. Market),01-01-2025,0.3,Other,11000,13000,12000
,02-01-2025,0.3,Other,10000,13000,11500
,04-01-2025,0.3,Other,10000,14000,12000
,05-01-2025,11.2,Other,10000,12000,11000
,06-01-2025,0.3,Other,12000,14000,13000
,07-01-2025,10.3,Other,12000,14000,13000
,08-01-2025,0.3,Other,12000,14000,13000
,09-01-2025,0.3,Other,12000,14000,13000
,11-01-2025,10,Other,10000,12000,11000
,12-01-2025,11.4,Other,10000,12000,11000
,13-01-2025,11.3,Other,10000,12000,11000
,14-01-2025,10.1,Other,10000,12000,11000
,15-01-2025,0.3,Other,12000,14000,13000
,16-01-2025,1,Other,12000,14000,13000
,18-01-2025,11.2,Other,12000,14000,13000
,19-01-2025,11.8,Other,12000,15000,13500
,20-01-2025,10.4,Other,10000,14000,12000
,21-01-2025,0.3,Other,12000,16000,14000
,22-01-2025,10.4,Other,12000,16000,14000
,23-01-2025,0.3,Other,12000,16000,14000
,25-01-2025,0.3,Other,12000,16000,14000
,27-01-2025,11.1,Other,7000,14000,10500
,28-01-2025,11.4,Other,7000,14000,10500
,29-01-2025,10.2,Other,10000,13000,11500
,30-01-2025,0.3,Other,8000,12000,10000
Chandrapur(Ganjwad),01-01-2025,0.5,Other,1000,2000,1500
Chattrapati Sambhajinagar,01-01-2025,0.9,Other,1600,12000,6800
,02-01-2025,0.7,Other,12000,24000,18000
,04-01-2025,1.2,Other,1000,18000,9500
,05-01-2025,0.5,Other,8000,20000,14000
,06-01-2025,0.8,Other,9000,18000,13500
,07-01-2025,1.2,Other,1400,23000,18500
,08-01-2025,0.6,Other,1200,19000,10100
,09-01-2025,1.2,Other,5000,13000,9000
,11-01-2025,0.7,Other,1600,22000,11800
,12-01-2025,1.7,Other,1500,23000,12250
,13-01-2025,0.6,Other,1300,14000,7650
,14-01-2025,0.8,Other,7000,13000,10000
,15-01-2025,0.7,Other,10000,15000,12500
,16-01-2025,1.4,Other,1500,18500,10000
,18-01-2025,2,Other,10000,15000,12500
,19-01-2025,1.4,Other,2500,16000,9250
,20-01-2025,0.8,Other,5000,14000,9500
,21-01-2025,0.6,Other,5000,14000,9000
,22-01-2025,0.8,Other,3000,11000,7000
,23-01-2025,0.9,Other,2000,12000,7000
,25-01-2025,0.7,Other,6000,15000,10500
,26-01-2025,2.2,Other,6000,15000,10500
,27-01-2025,2.4,Other,5000,17000,11000
,28-01-2025,1.2,Other,5000,18000,11500
,29-01-2025,1.7,Other,8000,13000,10500
,30-01-2025,1.2,Other,5000,9000,7000
Indapur,01-01-2025,0.2,Other,1500,6000,3000
Jalana,01-01-2025,3.4,Other,3000,18000,7000
,15-01-2025,3.4,Other,3000,18000,7000
,20-01-2025,3.8,Other,2500,17500,6500
,23-01-2025,3.4,Other,2500,16000,7000
Jalgaon,06-01-2025,1,Other,10000,15000,12500
,11-01-2025,1.4,Other,9000,15000,12000
,17-01-2025,1.3,Other,9000,15000,12000
,18-01-2025,1,Other,10000,18000,14000
,21-01-2025,1.3,Other,10000,18000,14000
,25-01-2025,1,Other,10000,18500,14000
,28-01-2025,1,Other,10000,20000,15000
,30-01-2025,0.6,Other,15000,15000,15000
Kalyan,22-01-2025,0.3,Other,8000,9000,8500
Mumbai- Fruit Market,01-01-2025,33.8,Other,10000,15000,12500
,02-01-2025,38.3,Other,10000,16000,13000
,03-01-2025,67.8,Other,10000,15000,12500
,04-01-2025,52.9,Other,10000,15000,12500
,06-01-2025,44.9,Other,10000,14000,12000
,07-01-2025,63.1,Other,10000,14000,12000
,08-01-2025,39,Other,10000,15000,12500
,09-01-2025,70.8,Other,10000,14000,12000
,10-01-2025,39.5,Other,10000,15000,12500
,11-01-2025,42,Other,10000,15000,12500
,13-01-2025,14.2,Other,10000,15000,12500
,14-01-2025,69.4,Other,10000,14000,12000
,15-01-2025,47.4,Other,10000,14000,12000
,16-01-2025,244.7,Other,8000,12000,10000
,17-01-2025,45.9,Other,8000,14000,11000
,18-01-2025,81,Other,8000,16000,12000
,20-01-2025,25,Other,8000,15000,11500
,21-01-2025,43.7,Other,8000,15000,11500
,22-01-2025,45.2,Other,8000,14000,11000
,23-01-2025,69.2,Other,8000,14000,11000
,24-01-2025,64.1,Other,8000,14000,11000
,25-01-2025,68.5,Other,8000,16000,12000
,27-01-2025,25.9,Other,8000,16000,12000
,28-01-2025,90.9,Other,8000,14000,11000
,29-01-2025,84.2,Other,8000,14000,11000
,31-01-2025,67.2,Other,8000,14000,11000
Nagpur,01-01-2025,51.9,Other,2000,6000,4500
,02-01-2025,0.3,Other,2000,6000,5000
,03-01-2025,48.2,Other,2000,6000,5000
,06-01-2025,67.5,Other,2000,6000,5000
,07-01-2025,66.2,Other,2000,6000,5000
,08-01-2025,53.8,Other,2000,6000,5000
,09-01-2025,0.7,Other,2000,6000,5000
,10-01-2025,91,Other,2000,6000,5000
,13-01-2025,95,Other,2000,6000,5000
,14-01-2025,50.5,Other,2000,6000,5000
,15-01-2025,49.7,Other,2000,6000,4750
,16-01-2025,4.4,Other,2000,6000,5000
,17-01-2025,63.1,Other,2000,6000,5000
,18-01-2025,7.3,Other,2000,6000,5000
,20-01-2025,81,Other,2000,6000,5000
,21-01-2025,71.9,Other,2000,6000,5000
,22-01-2025,52.2,Other,2000,6000,5000
,24-01-2025,68,Other,2000,6000,5000
,25-01-2025,10.5,Other,2000,6000,5000
,28-01-2025,71,Other,2000,6000,5000
Nampur,28-01-2025,220,Other,100,3000,1250
Nasik,01-01-2025,6.8,Other,650,14000,12500
,02-01-2025,5.2,Other,500,10500,9500
,03-01-2025,5.4,Other,500,13500,9500
,04-01-2025,4.2,Other,650,14000,12500
,06-01-2025,6.4,Other,650,14500,11500
,07-01-2025,0.5,Other,250,7000,3000
,08-01-2025,2.1,Other,300,7500,500
,09-01-2025,2.8,Other,500,20000,8500
,10-01-2025,0.6,Other,300,15000,5000
,11-01-2025,9.9,Other,400,35000,10500
,13-01-2025,4,Other,2250,19500,11000
,15-01-2025,1.9,Other,3175,25500,11125
,16-01-2025,2.3,Other,3000,21000,10000
,17-01-2025,1.5,Other,2325,27500,11000
,18-01-2025,2.4,Other,3250,20000,10500
,20-01-2025,2.5,Other,3600,20000,10100
,21-01-2025,5.4,Other,3150,25500,10500
,22-01-2025,0.2,Other,2900,13635,8000
,24-01-2025,2.6,Other,2500,25500,9500
,25-01-2025,1.5,Other,5500,23000,12000
,28-01-2025,1.9,Other,5500,21500,10500
,29-01-2025,1.6,Other,3250,19000,8000
,30-01-2025,1.8,Other,3500,18750,8000
,31-01-2025,1.5,Other,3500,23500,11000
Pune,01-01-2025,6.7,Other,2500,18500,10500
,02-01-2025,14.4,Other,1500,15000,8200
,03-01-2025,14,Other,1500,15000,8200
,05-01-2025,26.2,Other,2000,18000,10000
,06-01-2025,6.4,Other,1000,15000,8000
,07-01-2025,12.9,Other,2000,15000,8500
,08-01-2025,17.8,Other,1000,12000,6500
,09-01-2025,24.6,Other,1500,13000,7200
,10-01-2025,12.9,Other,1000,15000,8000
,12-01-2025,43.7,Other,1000,15000,8000
,14-01-2025,11,Other,2000,15000,8500
,15-01-2025,7.2,Other,1000,16000,8500
,16-01-2025,11.2,Other,1500,16500,9000
,17-01-2025,30.2,Other,1500,15000,8200
,19-01-2025,41.6,Other,1500,15000,8200
,20-01-2025,11.3,Other,2500,16000,8200
,21-01-2025,17,Other,1500,16500,9000
,22-01-2025,14.2,Other,1500,15500,8500
,23-01-2025,11.8,Other,1500,15500,8500
,24-01-2025,33.4,Other,1500,15500,8500
,27-01-2025,19.6,Other,1500,15500,8500
,28-01-2025,13.2,Other,2000,16000,9000
,29-01-2025,21.1,Other,2000,16000,9000
,30-01-2025,33.6,Other,2000,15000,8500
,31-01-2025,27.3,Other,2000,14000,8000
Pune(Moshi),02-01-2025,0.5,Other,9000,10000,9500
,03-01-2025,0.5,Other,10000,10000,10000
,05-01-2025,0.7,Other,8000,9000,8500
,06-01-2025,0.1,Other,10000,10000,10000
,07-01-2025,0.6,Other,10000,10000,10000
,09-01-2025,0.9,Other,9000,10000,9500
