Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Aarni,01-01-2025,45.5,Yellow,3800,4100,4000
,01-07-2025,106,Yellow,3800,4150,4000
,01/14/2025,64,Yellow,3800,4200,4000
,01/21/2025,106,Yellow,3800,4030,3950
,01/29/2025,105.5,Yellow,3800,4151,4000
Achalpur,01-03-2025,28.8,Other,3800,4100,3950
,01/15/2025,37.8,Other,3600,4150,3875
,01/16/2025,124.4,Other,3600,4150,3875
,01/18/2025,11.4,Other,3600,4150,3875
Ahmednagar,01-02-2025,27.6,Other,4000,4200,4100
,01-03-2025,13.8,Other,4000,4200,4100
,01-06-2025,5.7,Other,3800,4200,4000
,01-07-2025,14.8,Other,3800,4200,4000
,01-10-2025,11.9,Other,3800,4200,4000
,01-11-2025,10,Other,3800,4100,3950
,01/13/2025,30.8,Other,3800,4200,4000
,01/15/2025,7.1,Other,3800,4200,4000
,01/17/2025,9,Other,3800,4400,4100
,01/22/2025,2.5,Other,3500,4100,3800
,01/24/2025,10.9,Other,3500,4150,3825
,01/25/2025,8.9,Other,3650,4050,3850
,01/27/2025,7.2,Other,3600,4150,3875
,01/29/2025,10.3,Other,3700,4100,3900
,01/31/2025,25.8,Other,2700,4000,3850
Ahmedpur,01-01-2025,179.2,Yellow,3251,4270,4117
,01-02-2025,138.5,Yellow,3001,4266,4040
,01-03-2025,141.8,Yellow,3000,4262,4091
,01-04-2025,186.4,Yellow,3300,4249,4078
,01-08-2025,165.8,Yellow,3000,4201,4007
,01-10-2025,115.7,Yellow,3400,4240,4065
,01-11-2025,204.3,Yellow,3100,4270,4072
,01/16/2025,284.7,Yellow,3211,4239,4086
,01/17/2025,200.9,Yellow,3051,4216,4049
,01/18/2025,295.5,Yellow,3200,4201,4061
,01/20/2025,300,Yellow,2011,4221,4069
,01/21/2025,186.1,Yellow,3000,4228,4052
,01/22/2025,276.4,Yellow,2800,4212,4060
,01/27/2025,238.5,Yellow,2500,4105,3945
,01/28/2025,197.8,Yellow,3000,4084,3893
Akhadabalapur,01/27/2025,3.3,Yellow,4300,4500,4400
Akola,01-01-2025,436,Yellow,3680,4250,4050
,01-02-2025,472.6,Yellow,3400,4230,4000
,01-03-2025,419.4,Yellow,3800,4265,4100
,01-04-2025,429,Yellow,3550,4265,4000
,01-06-2025,351.7,Yellow,3535,4250,4040
,01-07-2025,415.9,Yellow,3508,4270,4035
,01/16/2025,410.8,Yellow,3495,4305,4020
,01/17/2025,418.9,Yellow,3500,4265,4180
,01/18/2025,414.4,Yellow,3450,4170,4020
,01/20/2025,441.7,Yellow,3600,4250,4100
,01/21/2025,466.3,Yellow,3440,4210,4060
,01/22/2025,471.3,Yellow,3475,4210,4065
,01/24/2025,438.3,Yellow,3500,4175,4050
,01/25/2025,454.7,Yellow,3500,4195,3965
,01/27/2025,422.4,Yellow,3600,4100,4000
,01/28/2025,271.2,Yellow,3800,4180,4100
,01/29/2025,279.8,Yellow,2500,4175,4075
,01/30/2025,272.6,Yellow,2500,4150,3995
,01/31/2025,212.7,Yellow,2900,4150,3675
Akot,01-07-2025,87.5,Yellow,3400,4290,4200
,01-08-2025,79,Yellow,3500,4300,4300
,01/16/2025,69,Yellow,3400,4265,4200
Amalner,01-01-2025,2,Other,3600,4000,4000
,01-04-2025,4,Other,3600,4050,4050
,01-07-2025,5,Other,3500,4068,4068
,01-08-2025,5,Other,3750,4000,4000
,01-09-2025,4,Other,3700,4050,4050
,01-10-2025,5,Other,3600,4045,4045
,01-11-2025,3.5,Other,3851,4094,4094
,01/15/2025,4,Other,4000,4200,4200
,01/16/2025,2,Other,3900,3930,3930
,01/17/2025,3,Other,3800,4000,4000
,01/18/2025,2.5,Other,3551,3992,3992
,01/20/2025,4,Other,3800,4045,4045
,01/21/2025,9,Other,3371,4000,4000
,01/22/2025,3,Other,3551,3981,3981
,01/24/2025,4,Other,3500,3900,3900
,01/25/2025,4,Other,3912,4071,4071
,01/29/2025,8,Other,3400,3950,3950
,01/30/2025,5,Other,3300,3800,3800
,01/31/2025,5,Other,3400,3900,3900
Amarawati,01-01-2025,611.1,Other,3950,4111,4030
,01-02-2025,936.6,Other,3850,3953,3901
,01-03-2025,1032.6,Other,3850,4001,3925
,01-04-2025,734.7,Other,3850,4000,3925
,01-06-2025,1143.3,Other,3850,4000,3925
,01-07-2025,950.1,Other,3850,4000,3925
,01-08-2025,1023,Other,3850,4151,4000
,01-09-2025,954,Other,3900,4171,4035
,01-10-2025,952.5,Other,3900,4116,4008
,01-11-2025,753.9,Other,3950,4213,4081
,01/13/2025,849,Other,3950,4190,4070
,01/14/2025,621,Other,3950,4170,4060
,01/15/2025,707.7,Other,4000,4213,4106
,01/16/2025,834.9,Other,3800,4153,3976
,01/17/2025,984.9,Other,3850,4021,3935
,01/18/2025,751.5,Other,3850,4002,3926
,01/20/2025,993.3,Other,3850,4050,3950
,01/21/2025,980.1,Other,3750,3955,3852
,01/22/2025,904.5,Other,3850,4102,3976
,01/24/2025,1061.1,Other,3850,4071,3960
,01/25/2025,693.6,Other,3800,4005,3902
,01/27/2025,846.6,Other,3850,4001,3925
,01/28/2025,801.9,Other,3750,3900,3825
,01/29/2025,1014,Other,3750,3901,3825
,01/30/2025,842.1,Other,3950,4165,4057
,01/31/2025,901.5,Other,3850,4001,3925
Ambad (Vadigodri),01-02-2025,6.5,Other,3200,4040,3850
,01-03-2025,5.5,Other,3375,4018,3820
,01-04-2025,7.4,Other,3531,4000,3925
,01-10-2025,4.5,Other,3100,4040,3900
Ambejaogai,01-01-2025,22,Yellow,3750,4185,4150
,01-02-2025,65,Yellow,3781,4204,4150
,01-03-2025,24,Yellow,3800,4175,4150
,01-04-2025,36,Yellow,3850,4150,4120
,01-06-2025,33,Yellow,4000,4171,4150
,01-07-2025,36,Yellow,3800,4168,4130
,01-08-2025,12,Yellow,3800,4179,4150
,01-09-2025,52,Yellow,3885,4175,4130
,01-10-2025,35,Yellow,3800,4180,4150
,01-11-2025,32,Yellow,3981,4220,4200
,01/13/2025,33,Yellow,3941,4250,4200
,01/15/2025,40,Yellow,3860,4221,4200
,01/16/2025,12,Yellow,3750,4170,4150
,01/18/2025,45,Yellow,3950,4175,4150
,01/20/2025,60,Yellow,3821,4175,4150
,01/21/2025,45,Yellow,3801,4170,4140
,01/22/2025,40,Yellow,3900,4138,4100
,01/23/2025,25,Yellow,3800,4100,4050
,01/27/2025,20,Yellow,3900,4050,4000
,01/30/2025,18,Yellow,3825,4000,3950
,01/31/2025,15,Yellow,3710,4025,4000
Anajngaon,01-03-2025,5,Yellow,3500,4140,3900
,01-10-2025,23.2,Yellow,3600,4150,3800
Arvi,01-01-2025,66,Yellow,2900,4250,4000
,01-03-2025,120,Yellow,3000,4200,3900
,01-04-2025,95,Yellow,3000,4150,3850
,01-07-2025,125,Yellow,3000,4160,3775
,01-08-2025,90.2,Yellow,3100,4140,3900
,01-10-2025,94,Yellow,3100,4150,3850
,01-11-2025,73,Yellow,3100,4180,3850
,01/13/2025,60.1,Yellow,3100,4140,3850
,01/14/2025,60.4,Yellow,3100,4175,3950
,01/15/2025,70.3,Yellow,3100,4150,3800
,01/17/2025,110,Yellow,3100,4300,3800
,01/18/2025,50,Yellow,3100,4325,3800
,01/20/2025,70,Yellow,3100,4150,3200
,01/21/2025,65,Yellow,3100,4240,3800
,01/22/2025,85,Yellow,3200,4290,4000
,01/24/2025,102.1,Yellow,3200,4270,3900
,01/25/2025,87,Yellow,3100,4250,4000
,01/27/2025,62,Yellow,3100,4100,3900
,01/28/2025,69,Yellow,3100,4330,3900
,01/29/2025,56,Yellow,3100,4300,3900
,01/31/2025,90.2,Yellow,3100,4250,3990
Ashti,01-01-2025,21.5,Yellow,3400,4150,3800
,01-02-2025,19.8,Yellow,3400,4270,3800
,01-06-2025,26,Yellow,3400,4180,3800
,01-08-2025,14,Yellow,3450,4260,3850
,01-10-2025,16,Yellow,3450,4210,3850
,01/13/2025,31.5,Yellow,3450,4205,3850
,01/14/2025,36,Yellow,3450,4205,3850
,01/15/2025,15.5,Yellow,3450,4220,3850
Ashti(Jalna),01/20/2025,0.2,Yellow,4125,4125,4125
,01/22/2025,1.4,Yellow,4050,4160,4050
,01/30/2025,0.2,Black,3710,3710,3710
Ashti(Karanja),01-01-2025,31.7,Yellow,3500,4170,3900
,01-07-2025,53.4,Yellow,3800,4290,4050
,01-08-2025,43.1,Yellow,3800,4240,4000
,01-09-2025,39,Yellow,3700,4195,3900
,01-10-2025,34.7,Yellow,3550,4200,3900
,01-12-2025,52.1,Yellow,3800,4260,4010
,01/13/2025,34.2,Yellow,3600,4265,4000
,01/14/2025,33.9,Yellow,3550,4280,4000
,01/15/2025,25.8,Yellow,3605,4270,4000
,01/16/2025,50.2,Yellow,3670,4275,4000
,01/17/2025,43,Yellow,3700,4305,4010
,01/19/2025,52.9,Yellow,3800,4305,4000
,01/20/2025,57.7,Yellow,3800,4265,3975
,01/21/2025,29.3,Yellow,3750,4305,4100
,01/22/2025,44.2,Yellow,3800,4265,4000
,01/23/2025,44.7,Yellow,3670,4270,4000
,01/24/2025,49.2,Yellow,3800,4225,4000
,01/27/2025,37.4,Yellow,3650,4205,3900
,01/29/2025,33.8,Yellow,3800,4200,3950
,01/30/2025,32.5,Yellow,3700,4155,4000
,01/31/2025,85.2,Yellow,3800,4150,4000
Aurad Shahajani,01-01-2025,103.7,Yellow,3900,4160,4030
,01-02-2025,95.6,Yellow,3911,4190,4050
,01-03-2025,151.3,Yellow,3951,4181,4066
,01-04-2025,136.4,Yellow,3951,4150,4050
,01-06-2025,31.9,Yellow,3950,4131,4040
,01-07-2025,20.5,Yellow,3960,4139,4049
,01-08-2025,224.3,Yellow,3925,4171,4048
,01-09-2025,128.2,Yellow,3950,4162,4056
,01-10-2025,106,Yellow,3980,4170,4075
,01-11-2025,173.5,Yellow,3950,4192,4071
,01/13/2025,80.5,Yellow,3960,4225,4092
,01/16/2025,164.3,Yellow,4001,4161,4081
,01/17/2025,161.8,Yellow,3950,4118,4034
,01/18/2025,184.1,Yellow,3951,4135,4043
,01/20/2025,172.8,Yellow,3950,4150,4050
,01/22/2025,123,Yellow,3920,4130,4025
,01/23/2025,133,Yellow,3820,4090,3955
,01/24/2025,167.2,Yellow,3950,4080,4015
,01/25/2025,53.3,Yellow,3960,4072,4016
,01/27/2025,148.6,Yellow,3870,4051,3960
