,Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
,Ahmednagar,01-06-2025,0.7,Other,4500,4500,4500
Market,,01-10-2025,0.3,Other,4000,4000,4000
Ahmednagar,,01/17/2025,0.1,Other,4500,4500,4500
,,01/24/2025,0.1,Other,4700,4700,4700
,Ahmedpur,01/28/2025,0.3,Local,4000,4000,4000
,Akola,01/20/2025,1.4,Local,4200,4200,4200
Ahmedpur,Baramati,01-03-2025,1.7,Other,5500,6400,6251
Akola,,01-07-2025,0.8,Other,6101,6350,6350
Baramati,,01-10-2025,0.1,Other,4200,5200,5200
,,01/14/2025,0.6,Other,5300,6200,6200
,,01/21/2025,3,Other,4600,6330,6252
,,01/24/2025,0.5,Other,5000,5800,5800
,,01/28/2025,2,Other,5000,6400,5900
,,01/31/2025,4.6,Other,5200,6551,5500
,Chalisgaon,01/23/2025,3,Other,4500,4921,4871
,,01/27/2025,1.2,Other,4451,4551,4452
Chalisgaon,,01/28/2025,1,Other,4500,4700,4600
,Kalvan,01-08-2025,1.1,Other,4105,4105,4105
,Khamgaon,01-04-2025,5.5,Other,3600,4000,3800
Kalvan,Lasalgaon,01/13/2025,0.1,Other,5501,5501,5501
Khamgaon,Malegaon,01/25/2025,0.2,Other,5970,5970,5970
Lasalgaon,Nandurbar,01-10-2025,3.8,Other,4800,6700,5750
Malegaon,,01/20/2025,1.1,Other,5500,6750,6125
Nandurbar,Pachora,01-02-2025,5,Other,4755,5555,5200
,,01-08-2025,20,Other,4557,4971,4751
Pachora,,01-09-2025,20,Other,4921,5340,5200
,,01-10-2025,10,Other,4572,5340,4811
,,01-11-2025,15,Other,4400,4983,4711
,,01/13/2025,7.5,Other,4500,5050,4711
,,01/16/2025,20,Other,4611,5256,4811
,,01/18/2025,30,Other,4300,4781,4500
,,01/20/2025,12.5,Other,4400,5001,4800
,,01/22/2025,6,Other,4750,4950,4851
,,01/23/2025,18,Other,4450,4975,4751
,,01/24/2025,20,Other,4300,4970,4521
,,01/25/2025,15.5,Other,4200,5800,4800
,,01/27/2025,15,Other,4400,5090,4711
,,01/28/2025,7,Other,4300,5075,4711
,,01/29/2025,5,Other,4715,5051,4911
,,01/30/2025,10,Other,4400,5119,4711
,,01/31/2025,11,Other,4300,4950,4611
